,Embedding Mode,Dimensions,Classifier/Regressor,Metric,Score
0,cbow,50,Naive Bayes,Accuracy,0.41666666666666663
1,cbow,50,C4.5,Accuracy,0.5
2,cbow,50,KNN (k=3),Accuracy,0.4666666666666666
3,cbow,50,SVM,Accuracy,0.4916666666666667
4,cbow,50,Linear Regression,RMSE,121.28775776349849
5,cbow,50,KNN (k=3) Regressor,RMSE,104.84586707426482
6,cbow,50,M5Rules,RMSE,140.4129127986737
7,cbow,100,Naive Bayes,Accuracy,0.45
8,cbow,100,C4.5,Accuracy,0.5083333333333334
9,cbow,100,KNN (k=3),Accuracy,0.475
10,cbow,100,SVM,Accuracy,0.5083333333333334
11,cbow,100,Linear Regression,RMSE,375.0379173736135
12,cbow,100,KNN (k=3) Regressor,RMSE,104.62222548724989
13,cbow,100,M5Rules,RMSE,127.07202940111638
14,cbow,200,Naive Bayes,Accuracy,0.4333333333333334
15,cbow,200,C4.5,Accuracy,0.5249999999999999
16,cbow,200,KNN (k=3),Accuracy,0.4416666666666667
17,cbow,200,SVM,Accuracy,0.4166666666666667
18,cbow,200,Linear Regression,RMSE,190.37173531468198
19,cbow,200,KNN (k=3) Regressor,RMSE,104.61714647351918
20,cbow,200,M5Rules,RMSE,140.23029944213266
21,sg,50,Naive Bayes,Accuracy,0.4916666666666667
22,sg,50,C4.5,Accuracy,0.4666666666666666
23,sg,50,KNN (k=3),Accuracy,0.4666666666666667
24,sg,50,SVM,Accuracy,0.4916666666666667
25,sg,50,Linear Regression,RMSE,164.38179177108498
26,sg,50,KNN (k=3) Regressor,RMSE,99.27823358476286
27,sg,50,M5Rules,RMSE,134.6748000029449
28,sg,100,Naive Bayes,Accuracy,0.4916666666666666
29,sg,100,C4.5,Accuracy,0.4833333333333334
30,sg,100,KNN (k=3),Accuracy,0.4083333333333333
31,sg,100,SVM,Accuracy,0.475
32,sg,100,Linear Regression,RMSE,639.6596693482567
33,sg,100,KNN (k=3) Regressor,RMSE,100.85200126646791
34,sg,100,M5Rules,RMSE,129.62526393099697
35,sg,200,Naive Bayes,Accuracy,0.4666666666666667
36,sg,200,C4.5,Accuracy,0.5
37,sg,200,KNN (k=3),Accuracy,0.45833333333333337
38,sg,200,SVM,Accuracy,0.45833333333333337
39,sg,200,Linear Regression,RMSE,171.53829520998013
40,sg,200,KNN (k=3) Regressor,RMSE,106.45938257978021
41,sg,200,M5Rules,RMSE,134.3271621839732
