,Embedding Mode,Dimensions,Classifier/Regressor,Metric,Score
0,cbow,50,Naive Bayes,Accuracy,0.5119514106583072
1,cbow,50,C4.5,Accuracy,0.422923197492163
2,cbow,50,KNN (k=3),Accuracy,0.4492163009404389
3,cbow,50,SVM,Accuracy,0.5518808777429467
4,cbow,50,Linear Regression,RMSE,87.14237170522446
5,cbow,50,KNN (k=3) Regressor,RMSE,92.63909137878149
6,cbow,50,M5Rules,RMSE,117.455867706369
7,cbow,100,Naive Bayes,Accuracy,0.5028605015673981
8,cbow,100,C4.5,Accuracy,0.4480276907001044
9,cbow,100,KNN (k=3),Accuracy,0.42428160919540236
10,cbow,100,SVM,Accuracy,0.5393808777429466
11,cbow,100,Linear Regression,RMSE,95.17238212070066
12,cbow,100,KNN (k=3) Regressor,RMSE,91.4699736948913
13,cbow,100,M5Rules,RMSE,122.88318870313375
14,cbow,200,Naive Bayes,Accuracy,0.5074451410658307
15,cbow,200,C4.5,Accuracy,0.42872257053291535
16,cbow,200,KNN (k=3),Accuracy,0.4640151515151515
17,cbow,200,SVM,Accuracy,0.5553160919540231
18,cbow,200,Linear Regression,RMSE,97.7106796985028
19,cbow,200,KNN (k=3) Regressor,RMSE,92.656365372397
20,cbow,200,M5Rules,RMSE,116.56729259988943
21,sg,50,Naive Bayes,Accuracy,0.3408699059561129
22,sg,50,C4.5,Accuracy,0.4607366771159874
23,sg,50,KNN (k=3),Accuracy,0.49955590386624865
24,sg,50,SVM,Accuracy,0.5632836990595612
25,sg,50,Linear Regression,RMSE,80.96275367547469
26,sg,50,KNN (k=3) Regressor,RMSE,86.87399739302472
27,sg,50,M5Rules,RMSE,108.44654451878485
28,sg,100,Naive Bayes,Accuracy,0.33175287356321836
29,sg,100,C4.5,Accuracy,0.48564524555903865
30,sg,100,KNN (k=3),Accuracy,0.49042580982236145
31,sg,100,SVM,Accuracy,0.5848484848484847
32,sg,100,Linear Regression,RMSE,84.24966760997475
33,sg,100,KNN (k=3) Regressor,RMSE,85.14694455126325
34,sg,100,M5Rules,RMSE,110.20436088958006
35,sg,200,Naive Bayes,Accuracy,0.33859717868338557
36,sg,200,C4.5,Accuracy,0.464119644723093
37,sg,200,KNN (k=3),Accuracy,0.504075235109718
38,sg,200,SVM,Accuracy,0.5871342737722048
39,sg,200,Linear Regression,RMSE,104.20481386710412
40,sg,200,KNN (k=3) Regressor,RMSE,85.19577477859607
41,sg,200,M5Rules,RMSE,111.51937965268345
