,Embedding Mode,Dimensions,Classifier/Regressor,Metric,Score
0,cbow,50,Naive Bayes,Accuracy,0.5074712643678161
1,cbow,50,C4.5,Accuracy,0.4344435736677116
2,cbow,50,KNN (k=3),Accuracy,0.4571969696969697
3,cbow,50,SVM,Accuracy,0.5518808777429467
4,cbow,50,Linear Regression,RMSE,91.35685964958044
5,cbow,50,KNN (k=3) Regressor,RMSE,94.66397411960642
6,cbow,50,M5Rules,RMSE,119.61073171937596
7,cbow,100,Naive Bayes,Accuracy,0.5074059561128527
8,cbow,100,C4.5,Accuracy,0.4139367816091954
9,cbow,100,KNN (k=3),Accuracy,0.4503787878787879
10,cbow,100,SVM,Accuracy,0.5473354231974922
11,cbow,100,Linear Regression,RMSE,94.79261155248886
12,cbow,100,KNN (k=3) Regressor,RMSE,93.5596690958956
13,cbow,100,M5Rules,RMSE,116.54164375676267
14,cbow,200,Naive Bayes,Accuracy,0.4721003134796238
15,cbow,200,C4.5,Accuracy,0.4230799373040752
16,cbow,200,KNN (k=3),Accuracy,0.4720872518286311
17,cbow,200,SVM,Accuracy,0.5427899686520377
18,cbow,200,Linear Regression,RMSE,100.83212568221515
19,cbow,200,KNN (k=3) Regressor,RMSE,90.9279739905485
20,cbow,200,M5Rules,RMSE,116.62854318965219
21,sg,50,Naive Bayes,Accuracy,0.3363113897596656
22,sg,50,C4.5,Accuracy,0.4469958202716824
23,sg,50,KNN (k=3),Accuracy,0.5212121212121212
24,sg,50,SVM,Accuracy,0.5928944618599792
25,sg,50,Linear Regression,RMSE,79.52068758596192
26,sg,50,KNN (k=3) Regressor,RMSE,83.90189880567911
27,sg,50,M5Rules,RMSE,104.90204603979457
28,sg,100,Naive Bayes,Accuracy,0.34655172413793106
29,sg,100,C4.5,Accuracy,0.47792580982236155
30,sg,100,KNN (k=3),Accuracy,0.5132445141065831
31,sg,100,SVM,Accuracy,0.5757183908045976
32,sg,100,Linear Regression,RMSE,82.22331845909547
33,sg,100,KNN (k=3) Regressor,RMSE,85.9390487350586
34,sg,100,M5Rules,RMSE,104.91991042694704
35,sg,200,Naive Bayes,Accuracy,0.3431295715778474
36,sg,200,C4.5,Accuracy,0.4903605015673981
37,sg,200,KNN (k=3),Accuracy,0.48113897596656213
38,sg,200,SVM,Accuracy,0.5848876698014629
39,sg,200,Linear Regression,RMSE,91.07975863597751
40,sg,200,KNN (k=3) Regressor,RMSE,87.55031081261441
41,sg,200,M5Rules,RMSE,106.69497004297651
