,Embedding Mode,Dimensions,Classifier/Regressor,Metric,Score
0,cbow,50,Naive Bayes,Accuracy,0.5142633228840126
1,cbow,50,C4.5,Accuracy,0.4376306165099269
2,cbow,50,KNN (k=3),Accuracy,0.46056687565308263
3,cbow,50,SVM,Accuracy,0.5473354231974922
4,cbow,50,Linear Regression,RMSE,88.08058308077091
5,cbow,50,KNN (k=3) Regressor,RMSE,91.20981403582576
6,cbow,50,M5Rules,RMSE,122.53958420913573
7,cbow,100,Naive Bayes,Accuracy,0.510841170323929
8,cbow,100,C4.5,Accuracy,0.43548850574712644
9,cbow,100,KNN (k=3),Accuracy,0.4514367816091954
10,cbow,100,SVM,Accuracy,0.5598354231974921
11,cbow,100,Linear Regression,RMSE,92.19463661354936
12,cbow,100,KNN (k=3) Regressor,RMSE,93.84796045678094
13,cbow,100,M5Rules,RMSE,123.59158597378703
14,cbow,200,Naive Bayes,Accuracy,0.5165360501567398
15,cbow,200,C4.5,Accuracy,0.43341170323928946
16,cbow,200,KNN (k=3),Accuracy,0.4639237199582027
17,cbow,200,SVM,Accuracy,0.5609848484848484
18,cbow,200,Linear Regression,RMSE,98.44744558173423
19,cbow,200,KNN (k=3) Regressor,RMSE,93.9848375126144
20,cbow,200,M5Rules,RMSE,117.48815863702346
21,sg,50,Naive Bayes,Accuracy,0.3454284221525601
22,sg,50,C4.5,Accuracy,0.46972309299895504
23,sg,50,KNN (k=3),Accuracy,0.4982236154649947
24,sg,50,SVM,Accuracy,0.5791274817136886
25,sg,50,Linear Regression,RMSE,79.95805417472266
26,sg,50,KNN (k=3) Regressor,RMSE,84.72913237465826
27,sg,50,M5Rules,RMSE,105.4290249171019
28,sg,100,Naive Bayes,Accuracy,0.33518808777429465
29,sg,100,C4.5,Accuracy,0.4357236154649947
30,sg,100,KNN (k=3),Accuracy,0.5028866248693834
31,sg,100,SVM,Accuracy,0.5871865203761756
32,sg,100,Linear Regression,RMSE,87.03932811708998
33,sg,100,KNN (k=3) Regressor,RMSE,86.37995591230136
34,sg,100,M5Rules,RMSE,110.2575008992608
35,sg,200,Naive Bayes,Accuracy,0.33403866248693836
36,sg,200,C4.5,Accuracy,0.4720611285266457
37,sg,200,KNN (k=3),Accuracy,0.5177115987460816
38,sg,200,SVM,Accuracy,0.582562695924765
39,sg,200,Linear Regression,RMSE,97.50982072996251
40,sg,200,KNN (k=3) Regressor,RMSE,83.92772371971513
41,sg,200,M5Rules,RMSE,105.33781318919009
