,Embedding Mode,Dimensions,Classifier/Regressor,Metric,Score
0,cbow,50,Naive Bayes,Accuracy,0.522217868338558
1,cbow,50,C4.5,Accuracy,0.42063740856844306
2,cbow,50,KNN (k=3),Accuracy,0.4241379310344827
3,cbow,50,SVM,Accuracy,0.5552899686520376
4,cbow,50,Linear Regression,RMSE,92.9547234120099
5,cbow,50,KNN (k=3) Regressor,RMSE,93.62238126798947
6,cbow,50,M5Rules,RMSE,120.17568070317111
7,cbow,100,Naive Bayes,Accuracy,0.5040360501567398
8,cbow,100,C4.5,Accuracy,0.41507314524555905
9,cbow,100,KNN (k=3),Accuracy,0.4890673981191223
10,cbow,100,SVM,Accuracy,0.5655433646812957
11,cbow,100,Linear Regression,RMSE,94.48760798315692
12,cbow,100,KNN (k=3) Regressor,RMSE,91.44603823397775
13,cbow,100,M5Rules,RMSE,125.63908421231076
14,cbow,200,Naive Bayes,Accuracy,0.4686520376175549
15,cbow,200,C4.5,Accuracy,0.4641980146290491
16,cbow,200,KNN (k=3),Accuracy,0.45369644723092994
17,cbow,200,SVM,Accuracy,0.5530172413793103
18,cbow,200,Linear Regression,RMSE,103.58110793056235
19,cbow,200,KNN (k=3) Regressor,RMSE,96.18779644417629
20,cbow,200,M5Rules,RMSE,122.4875843449363
21,sg,50,Naive Bayes,Accuracy,0.35565569487983284
22,sg,50,C4.5,Accuracy,0.4698275862068965
23,sg,50,KNN (k=3),Accuracy,0.48687304075235105
24,sg,50,SVM,Accuracy,0.5849007314524556
25,sg,50,Linear Regression,RMSE,82.50630800908421
26,sg,50,KNN (k=3) Regressor,RMSE,86.95327756248385
27,sg,50,M5Rules,RMSE,111.41265364188757
28,sg,100,Naive Bayes,Accuracy,0.3397204806687565
29,sg,100,C4.5,Accuracy,0.5119644723092999
30,sg,100,KNN (k=3),Accuracy,0.478905433646813
31,sg,100,SVM,Accuracy,0.57923197492163
32,sg,100,Linear Regression,RMSE,84.99196436223174
33,sg,100,KNN (k=3) Regressor,RMSE,88.1504222382728
34,sg,100,M5Rules,RMSE,110.95933345481087
35,sg,200,Naive Bayes,Accuracy,0.33862330198537094
36,sg,200,C4.5,Accuracy,0.4730538140020899
37,sg,200,KNN (k=3),Accuracy,0.4994122257053292
38,sg,200,SVM,Accuracy,0.5734326018808777
39,sg,200,Linear Regression,RMSE,106.80504458326743
40,sg,200,KNN (k=3) Regressor,RMSE,85.808841057443
41,sg,200,M5Rules,RMSE,109.21853528376062
