,Embedding Mode,Dimensions,Classifier/Regressor,Metric,Score
0,cbow,50,Naive Bayes,Accuracy,0.5108281086729363
1,cbow,50,C4.5,Accuracy,0.41515151515151516
2,cbow,50,KNN (k=3),Accuracy,0.4490856844305121
3,cbow,50,SVM,Accuracy,0.5461990595611285
4,cbow,50,Linear Regression,RMSE,88.25978333358837
5,cbow,50,KNN (k=3) Regressor,RMSE,92.44843452265982
6,cbow,50,M5Rules,RMSE,118.22920521877086
7,cbow,100,Naive Bayes,Accuracy,0.5108281086729363
8,cbow,100,C4.5,Accuracy,0.47315830721003127
9,cbow,100,KNN (k=3),Accuracy,0.4639237199582027
10,cbow,100,SVM,Accuracy,0.5439002089864159
11,cbow,100,Linear Regression,RMSE,94.56873798201244
12,cbow,100,KNN (k=3) Regressor,RMSE,93.09332269719616
13,cbow,100,M5Rules,RMSE,116.06432679818695
14,cbow,200,Naive Bayes,Accuracy,0.501789446185998
15,cbow,200,C4.5,Accuracy,0.4206635318704284
16,cbow,200,KNN (k=3),Accuracy,0.48338557993730413
17,cbow,200,SVM,Accuracy,0.5677899686520377
18,cbow,200,Linear Regression,RMSE,105.63474727313175
19,cbow,200,KNN (k=3) Regressor,RMSE,93.70456619353332
20,cbow,200,M5Rules,RMSE,118.3825031228748
21,sg,50,Naive Bayes,Accuracy,0.336337513061651
22,sg,50,C4.5,Accuracy,0.4949190177638453
23,sg,50,KNN (k=3),Accuracy,0.5143025078369907
24,sg,50,SVM,Accuracy,0.5928814002089864
25,sg,50,Linear Regression,RMSE,81.16036927702162
26,sg,50,KNN (k=3) Regressor,RMSE,85.99225402710752
27,sg,50,M5Rules,RMSE,108.31027340543324
28,sg,100,Naive Bayes,Accuracy,0.33518808777429465
29,sg,100,C4.5,Accuracy,0.448171368861024
30,sg,100,KNN (k=3),Accuracy,0.5017502612330198
31,sg,100,SVM,Accuracy,0.5780564263322885
32,sg,100,Linear Regression,RMSE,84.72363734683171
33,sg,100,KNN (k=3) Regressor,RMSE,85.36305800635495
34,sg,100,M5Rules,RMSE,108.62272410845932
35,sg,200,Naive Bayes,Accuracy,0.3408568443051202
36,sg,200,C4.5,Accuracy,0.48582810867293624
37,sg,200,KNN (k=3),Accuracy,0.48572361546499476
38,sg,200,SVM,Accuracy,0.5871995820271682
39,sg,200,Linear Regression,RMSE,97.24056339494163
40,sg,200,KNN (k=3) Regressor,RMSE,86.7916509192284
41,sg,200,M5Rules,RMSE,110.14482080558915
