,Embedding Mode,Dimensions,Classifier/Regressor,Metric,Score
0,cbow,50,Naive Bayes,Accuracy,0.5063218390804598
1,cbow,50,C4.5,Accuracy,0.4354101358411703
2,cbow,50,KNN (k=3),Accuracy,0.4639890282131661
3,cbow,50,SVM,Accuracy,0.5461859979101359
4,cbow,50,Linear Regression,RMSE,89.90661388482076
5,cbow,50,KNN (k=3) Regressor,RMSE,96.06786259795965
6,cbow,50,M5Rules,RMSE,124.94486135697034
7,cbow,100,Naive Bayes,Accuracy,0.5097309299895507
8,cbow,100,C4.5,Accuracy,0.4584639498432602
9,cbow,100,KNN (k=3),Accuracy,0.4492163009404389
10,cbow,100,SVM,Accuracy,0.5472831765935214
11,cbow,100,Linear Regression,RMSE,98.67286944145313
12,cbow,100,KNN (k=3) Regressor,RMSE,93.25787282231985
13,cbow,100,M5Rules,RMSE,116.07592366793358
14,cbow,200,Naive Bayes,Accuracy,0.496055381400209
15,cbow,200,C4.5,Accuracy,0.42533960292580986
16,cbow,200,KNN (k=3),Accuracy,0.4411442006269593
17,cbow,200,SVM,Accuracy,0.5507183908045976
18,cbow,200,Linear Regression,RMSE,97.8989483737191
19,cbow,200,KNN (k=3) Regressor,RMSE,95.13887800158423
20,cbow,200,M5Rules,RMSE,122.53856465585181
21,sg,50,Naive Bayes,Accuracy,0.33972048066875654
22,sg,50,C4.5,Accuracy,0.4696316614420063
23,sg,50,KNN (k=3),Accuracy,0.5016457680250783
24,sg,50,SVM,Accuracy,0.5826149425287357
25,sg,50,Linear Regression,RMSE,80.68512765145127
26,sg,50,KNN (k=3) Regressor,RMSE,84.96110480638156
27,sg,50,M5Rules,RMSE,112.28453851556174
28,sg,100,Naive Bayes,Accuracy,0.34203239289446186
29,sg,100,C4.5,Accuracy,0.48571055381400213
30,sg,100,KNN (k=3),Accuracy,0.501789446185998
31,sg,100,SVM,Accuracy,0.5871865203761757
32,sg,100,Linear Regression,RMSE,81.66938821061528
33,sg,100,KNN (k=3) Regressor,RMSE,84.23936786754919
34,sg,100,M5Rules,RMSE,107.60122691985207
35,sg,200,Naive Bayes,Accuracy,0.3329022988505747
36,sg,200,C4.5,Accuracy,0.48803552769070013
37,sg,200,KNN (k=3),Accuracy,0.4881138975966562
38,sg,200,SVM,Accuracy,0.5826018808777429
39,sg,200,Linear Regression,RMSE,94.70151764030139
40,sg,200,KNN (k=3) Regressor,RMSE,85.2032261657911
41,sg,200,M5Rules,RMSE,111.13628964501933
