,Embedding Mode,Dimensions,Classifier/Regressor,Metric,Score
0,cbow,50,Naive Bayes,Accuracy,0.5176724137931034
1,cbow,50,C4.5,Accuracy,0.4115334378265413
2,cbow,50,KNN (k=3),Accuracy,0.4457419017763845
3,cbow,50,SVM,Accuracy,0.5586859979101358
4,cbow,50,Linear Regression,RMSE,87.58304487195798
5,cbow,50,KNN (k=3) Regressor,RMSE,93.1069473849237
6,cbow,50,M5Rules,RMSE,117.9918396111282
7,cbow,100,Naive Bayes,Accuracy,0.5165229885057472
8,cbow,100,C4.5,Accuracy,0.43783960292580987
9,cbow,100,KNN (k=3),Accuracy,0.4365595611285267
10,cbow,100,SVM,Accuracy,0.5393808777429467
11,cbow,100,Linear Regression,RMSE,98.2535034466417
12,cbow,100,KNN (k=3) Regressor,RMSE,94.59928540437888
13,cbow,100,M5Rules,RMSE,122.25840193289403
14,cbow,200,Naive Bayes,Accuracy,0.5006008359456635
15,cbow,200,C4.5,Accuracy,0.4148641588296761
16,cbow,200,KNN (k=3),Accuracy,0.43772204806687565
17,cbow,200,SVM,Accuracy,0.5496081504702194
18,cbow,200,Linear Regression,RMSE,98.95328857822834
19,cbow,200,KNN (k=3) Regressor,RMSE,93.53531488189306
20,cbow,200,M5Rules,RMSE,118.71463784594798
21,sg,50,Naive Bayes,Accuracy,0.34084378265412746
22,sg,50,C4.5,Accuracy,0.46193834900731456
23,sg,50,KNN (k=3),Accuracy,0.4983281086729362
24,sg,50,SVM,Accuracy,0.5711076280041797
25,sg,50,Linear Regression,RMSE,83.72743133623418
26,sg,50,KNN (k=3) Regressor,RMSE,87.30105918824572
27,sg,50,M5Rules,RMSE,109.49744046083806
28,sg,100,Naive Bayes,Accuracy,0.3317920585161965
29,sg,100,C4.5,Accuracy,0.4812826541274817
30,sg,100,KNN (k=3),Accuracy,0.4799764890282131
31,sg,100,SVM,Accuracy,0.5848615464994775
32,sg,100,Linear Regression,RMSE,85.18308872985224
33,sg,100,KNN (k=3) Regressor,RMSE,86.84017432223968
34,sg,100,M5Rules,RMSE,110.95332994287166
35,sg,200,Naive Bayes,Accuracy,0.3363244514106583
36,sg,200,C4.5,Accuracy,0.4765412748171369
37,sg,200,KNN (k=3),Accuracy,0.48925026123301996
38,sg,200,SVM,Accuracy,0.5917319749216301
39,sg,200,Linear Regression,RMSE,98.74653060242082
40,sg,200,KNN (k=3) Regressor,RMSE,88.93560273356448
41,sg,200,M5Rules,RMSE,107.73185793949342
