,Embedding Mode,Dimensions,Classifier/Regressor,Metric,Score
0,cbow,50,Naive Bayes,Accuracy,0.47661964472309293
1,cbow,50,C4.5,Accuracy,0.4195271682340648
2,cbow,50,KNN (k=3),Accuracy,0.4355538140020899
3,cbow,50,SVM,Accuracy,0.5586990595611285
4,cbow,50,Linear Regression,RMSE,84.82285193721583
5,cbow,50,KNN (k=3) Regressor,RMSE,93.44466988343054
6,cbow,50,M5Rules,RMSE,117.0868467187599
7,cbow,100,Naive Bayes,Accuracy,0.4913793103448277
8,cbow,100,C4.5,Accuracy,0.44119644723093004
9,cbow,100,KNN (k=3),Accuracy,0.4731844305120168
10,cbow,100,SVM,Accuracy,0.549582027168234
11,cbow,100,Linear Regression,RMSE,82.37689846029464
12,cbow,100,KNN (k=3) Regressor,RMSE,91.02685363494929
13,cbow,100,M5Rules,RMSE,116.02220436556449
14,cbow,200,Naive Bayes,Accuracy,0.4822884012539185
15,cbow,200,C4.5,Accuracy,0.432183908045977
16,cbow,200,KNN (k=3),Accuracy,0.42193051201671883
17,cbow,200,SVM,Accuracy,0.5699843260188088
18,cbow,200,Linear Regression,RMSE,90.40330593810589
19,cbow,200,KNN (k=3) Regressor,RMSE,92.1853786300567
20,cbow,200,M5Rules,RMSE,118.41671831619726
21,sg,50,Naive Bayes,Accuracy,0.5095350052246604
22,sg,50,C4.5,Accuracy,0.45385318704284217
23,sg,50,KNN (k=3),Accuracy,0.5107366771159875
24,sg,50,SVM,Accuracy,0.5790491118077326
25,sg,50,Linear Regression,RMSE,80.61705878810815
26,sg,50,KNN (k=3) Regressor,RMSE,87.30770824411977
27,sg,50,M5Rules,RMSE,114.18831710460276
28,sg,100,Naive Bayes,Accuracy,0.5061650992685476
29,sg,100,C4.5,Accuracy,0.4378004179728318
30,sg,100,KNN (k=3),Accuracy,0.44471003134796233
31,sg,100,SVM,Accuracy,0.5847831765935215
32,sg,100,Linear Regression,RMSE,78.1301808678322
33,sg,100,KNN (k=3) Regressor,RMSE,87.08289183025154
34,sg,100,M5Rules,RMSE,120.98932132550553
35,sg,200,Naive Bayes,Accuracy,0.510710553814002
36,sg,200,C4.5,Accuracy,0.41828631138975964
37,sg,200,KNN (k=3),Accuracy,0.4799503657262278
38,sg,200,SVM,Accuracy,0.5940047021943574
39,sg,200,Linear Regression,RMSE,87.03540888840557
40,sg,200,KNN (k=3) Regressor,RMSE,88.85455369415934
41,sg,200,M5Rules,RMSE,117.05204535446254
