,,,,,ff,ft,tf,tt
,Embedding Mode,Dimensions,Classifier/Regressor,Metric,Score,Score,Score,Score
0,cbow,50,Naive Bayes,Accuracy,0.7824,0.5771,0.7683,0.6055
1,cbow,50,C4.5,Accuracy,0.6324,0.6281,0.6464,0.7007
2,cbow,50,KNN (k=3),Accuracy,0.7821,0.7238,0.7871,0.7143
3,cbow,50,SVM,Accuracy,0.8357,0.7679,0.8455,0.7912
4,cbow,50,Linear Regression,RMSE,16.2605,19.9391,16.2266,19.3139
5,cbow,50,KNN (k=3) Regressor,RMSE,14.5104,16.8838,15.3427,16.1469
6,cbow,50,M5Rules,RMSE,25.5522,24.9217,22.9282,23.0888
7,cbow,100,Naive Bayes,Accuracy,0.7874,0.5526,0.8164,0.5521
8,cbow,100,C4.5,Accuracy,0.6764,0.6674,0.6431,0.6764
9,cbow,100,KNN (k=3),Accuracy,0.7781,0.7574,0.8024,0.6619
10,cbow,100,SVM,Accuracy,0.8307,0.7671,0.8405,0.7436
11,cbow,100,Linear Regression,RMSE,19.8094,29.2522,20.3585,30.5561
12,cbow,100,KNN (k=3) Regressor,RMSE,14.8397,14.6045,13.0567,16.9017
13,cbow,100,M5Rules,RMSE,23.9005,21.6026,23.8795,18.8473
14,cbow,200,Naive Bayes,Accuracy,0.7871,0.5867,0.7781,0.5676
15,cbow,200,C4.5,Accuracy,0.6610,0.6860,0.6474,0.6336
16,cbow,200,KNN (k=3),Accuracy,0.8062,0.7048,0.8117,0.6998
17,cbow,200,SVM,Accuracy,0.8450,0.7826,0.8595,0.7531
18,cbow,200,Linear Regression,RMSE,153.9078,96.1434,158.9754,78.2948
19,cbow,200,KNN (k=3) Regressor,RMSE,13.9705,16.1532,15.1199,16.6415
20,cbow,200,M5Rules,RMSE,21.5045,22.2207,22.0217,21.7117
21,sg,50,Naive Bayes,Accuracy,0.5962,0.5140,0.5579,0.5331
22,sg,50,C4.5,Accuracy,0.4752,0.4855,0.4188,0.5350
23,sg,50,KNN (k=3),Accuracy,0.6867,0.6283,0.6819,0.5757
24,sg,50,SVM,Accuracy,0.7295,0.6526,0.7255,0.6583
25,sg,50,Linear Regression,RMSE,18.8279,20.4125,21.5189,20.6493
26,sg,50,KNN (k=3) Regressor,RMSE,18.2240,19.6956,18.8640,19.3220
27,sg,50,M5Rules,RMSE,27.5329,26.6210,27.6576,24.7245
28,sg,100,Naive Bayes,Accuracy,0.6538,0.5288,0.6390,0.4998
29,sg,100,C4.5,Accuracy,0.5436,0.5331,0.5226,0.5138
30,sg,100,KNN (k=3),Accuracy,0.7067,0.6626,0.7069,0.5998
31,sg,100,SVM,Accuracy,0.7445,0.7007,0.7502,0.6679
32,sg,100,Linear Regression,RMSE,25.2502,29.6991,20.0859,30.0324
33,sg,100,KNN (k=3) Regressor,RMSE,18.0864,18.6919,20.2776,20.1464
34,sg,100,M5Rules,RMSE,27.6218,26.4019,27.8787,25.1856
35,sg,200,Naive Bayes,Accuracy,0.6493,0.5388,0.6583,0.5388
36,sg,200,C4.5,Accuracy,0.5517,0.5376,0.5000,0.4995
37,sg,200,KNN (k=3),Accuracy,0.6686,0.5802,0.7260,0.6043
38,sg,200,SVM,Accuracy,0.7310,0.6481,0.7595,0.6488
39,sg,200,Linear Regression,RMSE,194.5167,115.0363,253.0593,225.7712
40,sg,200,KNN (k=3) Regressor,RMSE,18.9930,18.9965,18.4477,18.7336
41,sg,200,M5Rules,RMSE,28.0894,24.1812,28.1232,24.9278
