,Embedding Mode,Dimensions,Classifier/Regressor,Metric,Score
0,cbow,50,Naive Bayes,Accuracy,0.5771428571428572
1,cbow,50,C4.5,Accuracy,0.6280952380952382
2,cbow,50,KNN (k=3),Accuracy,0.7238095238095238
3,cbow,50,SVM,Accuracy,0.7678571428571428
4,cbow,50,Linear Regression,RMSE,19.93913334847263
5,cbow,50,KNN (k=3) Regressor,RMSE,16.88375144935866
6,cbow,50,M5Rules,RMSE,24.921658237260637
7,cbow,100,Naive Bayes,Accuracy,0.5526190476190476
8,cbow,100,C4.5,Accuracy,0.6673809523809524
9,cbow,100,KNN (k=3),Accuracy,0.7573809523809524
10,cbow,100,SVM,Accuracy,0.7671428571428571
11,cbow,100,Linear Regression,RMSE,29.25222426937762
12,cbow,100,KNN (k=3) Regressor,RMSE,14.604464114639146
13,cbow,100,M5Rules,RMSE,21.602644004618764
14,cbow,200,Naive Bayes,Accuracy,0.5866666666666667
15,cbow,200,C4.5,Accuracy,0.685952380952381
16,cbow,200,KNN (k=3),Accuracy,0.7047619047619047
17,cbow,200,SVM,Accuracy,0.7826190476190475
18,cbow,200,Linear Regression,RMSE,96.14338212032393
19,cbow,200,KNN (k=3) Regressor,RMSE,16.15316167800428
20,cbow,200,M5Rules,RMSE,22.220730722907554
21,sg,50,Naive Bayes,Accuracy,0.514047619047619
22,sg,50,C4.5,Accuracy,0.48547619047619045
23,sg,50,KNN (k=3),Accuracy,0.6283333333333334
24,sg,50,SVM,Accuracy,0.6526190476190477
25,sg,50,Linear Regression,RMSE,20.412469050901088
26,sg,50,KNN (k=3) Regressor,RMSE,19.695576225737973
27,sg,50,M5Rules,RMSE,26.62096580071752
28,sg,100,Naive Bayes,Accuracy,0.5288095238095237
29,sg,100,C4.5,Accuracy,0.5330952380952382
30,sg,100,KNN (k=3),Accuracy,0.6626190476190476
31,sg,100,SVM,Accuracy,0.7007142857142858
32,sg,100,Linear Regression,RMSE,29.699126311256105
33,sg,100,KNN (k=3) Regressor,RMSE,18.69192113632991
34,sg,100,M5Rules,RMSE,26.401875521103555
35,sg,200,Naive Bayes,Accuracy,0.5388095238095237
36,sg,200,C4.5,Accuracy,0.5376190476190477
37,sg,200,KNN (k=3),Accuracy,0.5802380952380952
38,sg,200,SVM,Accuracy,0.6480952380952382
39,sg,200,Linear Regression,RMSE,115.0363389945722
40,sg,200,KNN (k=3) Regressor,RMSE,18.99647196868533
41,sg,200,M5Rules,RMSE,24.181232593485817
