,Embedding Mode,Dimensions,Classifier/Regressor,Metric,Score
0,cbow,50,Naive Bayes,Accuracy,0.41198830409356724
1,cbow,50,C4.5,Accuracy,0.5441520467836257
2,cbow,50,KNN (k=3),Accuracy,0.5213450292397661
3,cbow,50,SVM,Accuracy,0.5535087719298246
4,cbow,50,Linear Regression,RMSE,28.118587074111463
5,cbow,50,KNN (k=3) Regressor,RMSE,20.806429572777922
6,cbow,50,M5Rules,RMSE,27.29983826386037
7,cbow,100,Naive Bayes,Accuracy,0.4011695906432749
8,cbow,100,C4.5,Accuracy,0.4935672514619883
9,cbow,100,KNN (k=3),Accuracy,0.5865497076023392
10,cbow,100,SVM,Accuracy,0.6131578947368421
11,cbow,100,Linear Regression,RMSE,41.17018591088995
12,cbow,100,KNN (k=3) Regressor,RMSE,20.42753827946621
13,cbow,100,M5Rules,RMSE,25.944619298683545
14,cbow,200,Naive Bayes,Accuracy,0.45029239766081874
15,cbow,200,C4.5,Accuracy,0.5435672514619883
16,cbow,200,KNN (k=3),Accuracy,0.5049707602339181
17,cbow,200,SVM,Accuracy,0.6470760233918128
18,cbow,200,Linear Regression,RMSE,87.55496063648425
19,cbow,200,KNN (k=3) Regressor,RMSE,21.43080651916061
20,cbow,200,M5Rules,RMSE,26.28590663447693
21,sg,50,Naive Bayes,Accuracy,0.6140350877192983
22,sg,50,C4.5,Accuracy,0.6026315789473684
23,sg,50,KNN (k=3),Accuracy,0.645906432748538
24,sg,50,SVM,Accuracy,0.7447368421052631
25,sg,50,Linear Regression,RMSE,19.998007403648582
26,sg,50,KNN (k=3) Regressor,RMSE,16.338349705712815
27,sg,50,M5Rules,RMSE,21.673478903998273
28,sg,100,Naive Bayes,Accuracy,0.5757309941520468
29,sg,100,C4.5,Accuracy,0.5915204678362572
30,sg,100,KNN (k=3),Accuracy,0.6187134502923978
31,sg,100,SVM,Accuracy,0.7780701754385965
32,sg,100,Linear Regression,RMSE,27.610775794650483
33,sg,100,KNN (k=3) Regressor,RMSE,17.312368062552455
34,sg,100,M5Rules,RMSE,23.812596004017294
35,sg,200,Naive Bayes,Accuracy,0.630701754385965
36,sg,200,C4.5,Accuracy,0.5269005847953216
37,sg,200,KNN (k=3),Accuracy,0.6283625730994152
38,sg,200,SVM,Accuracy,0.695906432748538
39,sg,200,Linear Regression,RMSE,47.72560026983357
40,sg,200,KNN (k=3) Regressor,RMSE,16.97595555879321
41,sg,200,M5Rules,RMSE,22.13875301790906
