,Embedding Mode,Dimensions,Classifier/Regressor,Metric,Score
0,cbow,50,Naive Bayes,Accuracy,0.7683333333333333
1,cbow,50,C4.5,Accuracy,0.6464285714285715
2,cbow,50,KNN (k=3),Accuracy,0.7871428571428571
3,cbow,50,SVM,Accuracy,0.8454761904761906
4,cbow,50,Linear Regression,RMSE,16.22659974892577
5,cbow,50,KNN (k=3) Regressor,RMSE,15.34268293895607
6,cbow,50,M5Rules,RMSE,22.928226502070295
7,cbow,100,Naive Bayes,Accuracy,0.8164285714285715
8,cbow,100,C4.5,Accuracy,0.6430952380952382
9,cbow,100,KNN (k=3),Accuracy,0.8023809523809524
10,cbow,100,SVM,Accuracy,0.8404761904761905
11,cbow,100,Linear Regression,RMSE,20.358455459368066
12,cbow,100,KNN (k=3) Regressor,RMSE,13.056727778790968
13,cbow,100,M5Rules,RMSE,23.87954493173431
14,cbow,200,Naive Bayes,Accuracy,0.7780952380952381
15,cbow,200,C4.5,Accuracy,0.6473809523809523
16,cbow,200,KNN (k=3),Accuracy,0.8116666666666668
17,cbow,200,SVM,Accuracy,0.8595238095238095
18,cbow,200,Linear Regression,RMSE,158.97536340104563
19,cbow,200,KNN (k=3) Regressor,RMSE,15.119875801266968
20,cbow,200,M5Rules,RMSE,22.021679351706148
21,sg,50,Naive Bayes,Accuracy,0.5578571428571428
22,sg,50,C4.5,Accuracy,0.41880952380952385
23,sg,50,KNN (k=3),Accuracy,0.6819047619047619
24,sg,50,SVM,Accuracy,0.7254761904761906
25,sg,50,Linear Regression,RMSE,21.518857132852748
26,sg,50,KNN (k=3) Regressor,RMSE,18.864028796567947
27,sg,50,M5Rules,RMSE,27.65756152739736
28,sg,100,Naive Bayes,Accuracy,0.639047619047619
29,sg,100,C4.5,Accuracy,0.5226190476190476
30,sg,100,KNN (k=3),Accuracy,0.7069047619047619
31,sg,100,SVM,Accuracy,0.7502380952380954
32,sg,100,Linear Regression,RMSE,20.08589459863519
33,sg,100,KNN (k=3) Regressor,RMSE,20.277599931159507
34,sg,100,M5Rules,RMSE,27.878725916204377
35,sg,200,Naive Bayes,Accuracy,0.6583333333333334
36,sg,200,C4.5,Accuracy,0.5
37,sg,200,KNN (k=3),Accuracy,0.7259523809523809
38,sg,200,SVM,Accuracy,0.7595238095238095
39,sg,200,Linear Regression,RMSE,253.0593284642201
40,sg,200,KNN (k=3) Regressor,RMSE,18.447667602748403
41,sg,200,M5Rules,RMSE,28.123228195702534
