,Embedding Mode,Dimensions,Classifier/Regressor,Metric,Score
0,cbow,50,Naive Bayes,Accuracy,0.6054761904761905
1,cbow,50,C4.5,Accuracy,0.7007142857142858
2,cbow,50,KNN (k=3),Accuracy,0.7142857142857142
3,cbow,50,SVM,Accuracy,0.7911904761904762
4,cbow,50,Linear Regression,RMSE,19.313903541805097
5,cbow,50,KNN (k=3) Regressor,RMSE,16.146938546719692
6,cbow,50,M5Rules,RMSE,23.088777800737212
7,cbow,100,Naive Bayes,Accuracy,0.5521428571428572
8,cbow,100,C4.5,Accuracy,0.6764285714285715
9,cbow,100,KNN (k=3),Accuracy,0.661904761904762
10,cbow,100,SVM,Accuracy,0.7435714285714285
11,cbow,100,Linear Regression,RMSE,30.556122636087622
12,cbow,100,KNN (k=3) Regressor,RMSE,16.901701021241614
13,cbow,100,M5Rules,RMSE,18.847293722061366
14,cbow,200,Naive Bayes,Accuracy,0.5676190476190477
15,cbow,200,C4.5,Accuracy,0.6335714285714286
16,cbow,200,KNN (k=3),Accuracy,0.6997619047619047
17,cbow,200,SVM,Accuracy,0.753095238095238
18,cbow,200,Linear Regression,RMSE,78.2947505787275
19,cbow,200,KNN (k=3) Regressor,RMSE,16.64147435908785
20,cbow,200,M5Rules,RMSE,21.71172557662244
21,sg,50,Naive Bayes,Accuracy,0.5330952380952382
22,sg,50,C4.5,Accuracy,0.5349999999999999
23,sg,50,KNN (k=3),Accuracy,0.5757142857142858
24,sg,50,SVM,Accuracy,0.6583333333333333
25,sg,50,Linear Regression,RMSE,20.649340188123354
26,sg,50,KNN (k=3) Regressor,RMSE,19.321981662982143
27,sg,50,M5Rules,RMSE,24.724450883464936
28,sg,100,Naive Bayes,Accuracy,0.49976190476190474
29,sg,100,C4.5,Accuracy,0.5138095238095238
30,sg,100,KNN (k=3),Accuracy,0.5997619047619047
31,sg,100,SVM,Accuracy,0.6678571428571429
32,sg,100,Linear Regression,RMSE,30.032430472627716
33,sg,100,KNN (k=3) Regressor,RMSE,20.14640321749526
34,sg,100,M5Rules,RMSE,25.18556092661682
35,sg,200,Naive Bayes,Accuracy,0.5388095238095237
36,sg,200,C4.5,Accuracy,0.4995238095238094
37,sg,200,KNN (k=3),Accuracy,0.6042857142857142
38,sg,200,SVM,Accuracy,0.6488095238095238
39,sg,200,Linear Regression,RMSE,225.7712026991012
40,sg,200,KNN (k=3) Regressor,RMSE,18.733577160117832
41,sg,200,M5Rules,RMSE,24.927820966930664
