,Embedding Mode,Dimensions,Classifier/Regressor,Metric,Score
0,cbow,50,Naive Bayes,Accuracy,0.5616666666666666
1,cbow,50,C4.5,Accuracy,0.6045238095238095
2,cbow,50,KNN (k=3),Accuracy,0.7152380952380952
3,cbow,50,SVM,Accuracy,0.7628571428571429
4,cbow,50,Linear Regression,RMSE,20.010072786930294
5,cbow,50,KNN (k=3) Regressor,RMSE,15.283648064893839
6,cbow,50,M5Rules,RMSE,21.663530973365933
7,cbow,100,Naive Bayes,Accuracy,0.5571428571428572
8,cbow,100,C4.5,Accuracy,0.6516666666666666
9,cbow,100,KNN (k=3),Accuracy,0.7092857142857143
10,cbow,100,SVM,Accuracy,0.7869047619047619
11,cbow,100,Linear Regression,RMSE,26.52623393207066
12,cbow,100,KNN (k=3) Regressor,RMSE,16.351473783920625
13,cbow,100,M5Rules,RMSE,20.65006813268229
14,cbow,200,Naive Bayes,Accuracy,0.595952380952381
15,cbow,200,C4.5,Accuracy,0.6326190476190476
16,cbow,200,KNN (k=3),Accuracy,0.680952380952381
17,cbow,200,SVM,Accuracy,0.7628571428571428
18,cbow,200,Linear Regression,RMSE,93.84866799243909
19,cbow,200,KNN (k=3) Regressor,RMSE,16.451582641526368
20,cbow,200,M5Rules,RMSE,23.141206531301215
21,sg,50,Naive Bayes,Accuracy,0.5192857142857144
22,sg,50,C4.5,Accuracy,0.5380952380952382
23,sg,50,KNN (k=3),Accuracy,0.5957142857142858
24,sg,50,SVM,Accuracy,0.6826190476190476
25,sg,50,Linear Regression,RMSE,20.175399614719442
26,sg,50,KNN (k=3) Regressor,RMSE,19.066768446676807
27,sg,50,M5Rules,RMSE,23.88404780844808
28,sg,100,Naive Bayes,Accuracy,0.5385714285714285
29,sg,100,C4.5,Accuracy,0.5192857142857142
30,sg,100,KNN (k=3),Accuracy,0.6388095238095237
31,sg,100,SVM,Accuracy,0.6530952380952382
32,sg,100,Linear Regression,RMSE,26.57666763386817
33,sg,100,KNN (k=3) Regressor,RMSE,18.224864886317825
34,sg,100,M5Rules,RMSE,24.84100234694268
35,sg,200,Naive Bayes,Accuracy,0.5233333333333334
36,sg,200,C4.5,Accuracy,0.5766666666666668
37,sg,200,KNN (k=3),Accuracy,0.6052380952380952
38,sg,200,SVM,Accuracy,0.7071428571428571
39,sg,200,Linear Regression,RMSE,155.29449076917905
40,sg,200,KNN (k=3) Regressor,RMSE,18.612106030689375
41,sg,200,M5Rules,RMSE,24.412301952037573
