,Embedding Mode,Dimensions,Classifier/Regressor,Metric,Score
0,cbow,50,Naive Bayes,Accuracy,0.5816666666666667
1,cbow,50,C4.5,Accuracy,0.6676190476190477
2,cbow,50,KNN (k=3),Accuracy,0.7333333333333334
3,cbow,50,SVM,Accuracy,0.753095238095238
4,cbow,50,Linear Regression,RMSE,20.47589890944308
5,cbow,50,KNN (k=3) Regressor,RMSE,15.989877905119958
6,cbow,50,M5Rules,RMSE,23.308844598007912
7,cbow,100,Naive Bayes,Accuracy,0.5426190476190477
8,cbow,100,C4.5,Accuracy,0.614047619047619
9,cbow,100,KNN (k=3),Accuracy,0.7052380952380953
10,cbow,100,SVM,Accuracy,0.7628571428571428
11,cbow,100,Linear Regression,RMSE,32.187796169365086
12,cbow,100,KNN (k=3) Regressor,RMSE,16.21410720775371
13,cbow,100,M5Rules,RMSE,19.063395147898703
14,cbow,200,Naive Bayes,Accuracy,0.5726190476190476
15,cbow,200,C4.5,Accuracy,0.6185714285714285
16,cbow,200,KNN (k=3),Accuracy,0.7247619047619047
17,cbow,200,SVM,Accuracy,0.758095238095238
18,cbow,200,Linear Regression,RMSE,80.05281583204439
19,cbow,200,KNN (k=3) Regressor,RMSE,15.577389494326496
20,cbow,200,M5Rules,RMSE,20.544975869105308
21,sg,50,Naive Bayes,Accuracy,0.5245238095238094
22,sg,50,C4.5,Accuracy,0.5047619047619047
23,sg,50,KNN (k=3),Accuracy,0.5907142857142857
24,sg,50,SVM,Accuracy,0.6392857142857143
25,sg,50,Linear Regression,RMSE,19.556336851160143
26,sg,50,KNN (k=3) Regressor,RMSE,19.24355614679528
27,sg,50,M5Rules,RMSE,25.56378411279498
28,sg,100,Naive Bayes,Accuracy,0.529047619047619
29,sg,100,C4.5,Accuracy,0.5183333333333334
30,sg,100,KNN (k=3),Accuracy,0.6480952380952381
31,sg,100,SVM,Accuracy,0.6835714285714286
32,sg,100,Linear Regression,RMSE,32.85428933667269
33,sg,100,KNN (k=3) Regressor,RMSE,18.831695517500172
34,sg,100,M5Rules,RMSE,25.253941242077076
35,sg,200,Naive Bayes,Accuracy,0.49023809523809525
36,sg,200,C4.5,Accuracy,0.5047619047619047
37,sg,200,KNN (k=3),Accuracy,0.6092857142857142
38,sg,200,SVM,Accuracy,0.6716666666666666
39,sg,200,Linear Regression,RMSE,137.35582517026077
40,sg,200,KNN (k=3) Regressor,RMSE,19.49426362937526
41,sg,200,M5Rules,RMSE,27.258332863949242
