,Embedding Mode,Dimensions,Classifier/Regressor,Metric,Score
0,cbow,50,Naive Bayes,Accuracy,0.6007142857142856
1,cbow,50,C4.5,Accuracy,0.6133333333333334
2,cbow,50,KNN (k=3),Accuracy,0.700952380952381
3,cbow,50,SVM,Accuracy,0.7342857142857142
4,cbow,50,Linear Regression,RMSE,19.643795979434287
5,cbow,50,KNN (k=3) Regressor,RMSE,16.19528423540122
6,cbow,50,M5Rules,RMSE,20.54341728555978
7,cbow,100,Naive Bayes,Accuracy,0.5578571428571429
8,cbow,100,C4.5,Accuracy,0.5561904761904761
9,cbow,100,KNN (k=3),Accuracy,0.7092857142857142
10,cbow,100,SVM,Accuracy,0.738095238095238
11,cbow,100,Linear Regression,RMSE,26.75514807461257
12,cbow,100,KNN (k=3) Regressor,RMSE,16.263385752836417
13,cbow,100,M5Rules,RMSE,21.570942782543703
14,cbow,200,Naive Bayes,Accuracy,0.5819047619047619
15,cbow,200,C4.5,Accuracy,0.6716666666666666
16,cbow,200,KNN (k=3),Accuracy,0.72
17,cbow,200,SVM,Accuracy,0.7342857142857143
18,cbow,200,Linear Regression,RMSE,91.98687706322413
19,cbow,200,KNN (k=3) Regressor,RMSE,18.021753200096548
20,cbow,200,M5Rules,RMSE,20.691062885498056
21,sg,50,Naive Bayes,Accuracy,0.5052380952380953
22,sg,50,C4.5,Accuracy,0.5464285714285715
23,sg,50,KNN (k=3),Accuracy,0.6626190476190477
24,sg,50,SVM,Accuracy,0.6914285714285715
25,sg,50,Linear Regression,RMSE,18.596065122416558
26,sg,50,KNN (k=3) Regressor,RMSE,18.709232579146327
27,sg,50,M5Rules,RMSE,28.578218441161614
28,sg,100,Naive Bayes,Accuracy,0.5430952380952381
29,sg,100,C4.5,Accuracy,0.4992857142857142
30,sg,100,KNN (k=3),Accuracy,0.5911904761904762
31,sg,100,SVM,Accuracy,0.6583333333333333
32,sg,100,Linear Regression,RMSE,28.3701662141254
33,sg,100,KNN (k=3) Regressor,RMSE,19.858026082702548
34,sg,100,M5Rules,RMSE,25.196291273101586
35,sg,200,Naive Bayes,Accuracy,0.5004761904761905
36,sg,200,C4.5,Accuracy,0.4947619047619048
37,sg,200,KNN (k=3),Accuracy,0.5657142857142858
38,sg,200,SVM,Accuracy,0.676904761904762
39,sg,200,Linear Regression,RMSE,133.79029464850316
40,sg,200,KNN (k=3) Regressor,RMSE,20.420364754164297
41,sg,200,M5Rules,RMSE,23.022574976005675
