,Embedding Mode,Dimensions,Classifier/Regressor,Metric,Score
0,cbow,50,Naive Bayes,Accuracy,0.5869047619047618
1,cbow,50,C4.5,Accuracy,0.5847619047619047
2,cbow,50,KNN (k=3),Accuracy,0.6997619047619048
3,cbow,50,SVM,Accuracy,0.7671428571428571
4,cbow,50,Linear Regression,RMSE,19.07809990950165
5,cbow,50,KNN (k=3) Regressor,RMSE,16.758969309106956
6,cbow,50,M5Rules,RMSE,19.192963642627518
7,cbow,100,Naive Bayes,Accuracy,0.5761904761904761
8,cbow,100,C4.5,Accuracy,0.6804761904761906
9,cbow,100,KNN (k=3),Accuracy,0.7107142857142857
10,cbow,100,SVM,Accuracy,0.7435714285714285
11,cbow,100,Linear Regression,RMSE,27.032336413277296
12,cbow,100,KNN (k=3) Regressor,RMSE,16.030383597330406
13,cbow,100,M5Rules,RMSE,20.24373876967125
14,cbow,200,Naive Bayes,Accuracy,0.5523809523809524
15,cbow,200,C4.5,Accuracy,0.6480952380952382
16,cbow,200,KNN (k=3),Accuracy,0.7197619047619047
17,cbow,200,SVM,Accuracy,0.7385714285714285
18,cbow,200,Linear Regression,RMSE,91.53934812089736
19,cbow,200,KNN (k=3) Regressor,RMSE,16.604882120023632
20,cbow,200,M5Rules,RMSE,18.204831132122383
21,sg,50,Naive Bayes,Accuracy,0.5333333333333334
22,sg,50,C4.5,Accuracy,0.5045238095238095
23,sg,50,KNN (k=3),Accuracy,0.5664285714285714
24,sg,50,SVM,Accuracy,0.6285714285714286
25,sg,50,Linear Regression,RMSE,17.734003783064036
26,sg,50,KNN (k=3) Regressor,RMSE,19.878831530082437
27,sg,50,M5Rules,RMSE,27.022595546439607
28,sg,100,Naive Bayes,Accuracy,0.5335714285714286
29,sg,100,C4.5,Accuracy,0.5238095238095238
30,sg,100,KNN (k=3),Accuracy,0.6102380952380952
31,sg,100,SVM,Accuracy,0.7219047619047619
32,sg,100,Linear Regression,RMSE,28.56250857232102
33,sg,100,KNN (k=3) Regressor,RMSE,19.10813461467162
34,sg,100,M5Rules,RMSE,26.50439720475692
35,sg,200,Naive Bayes,Accuracy,0.514047619047619
36,sg,200,C4.5,Accuracy,0.5630952380952381
37,sg,200,KNN (k=3),Accuracy,0.6097619047619047
38,sg,200,SVM,Accuracy,0.6735714285714286
39,sg,200,Linear Regression,RMSE,178.43972098282023
40,sg,200,KNN (k=3) Regressor,RMSE,19.76787724332131
41,sg,200,M5Rules,RMSE,26.400426847100608
