,Embedding Mode,Dimensions,Classifier/Regressor,Metric,Score
0,cbow,50,Naive Bayes,Accuracy,0.5255923900660744
1,cbow,50,C4.5,Accuracy,0.5684609250398724
2,cbow,50,KNN (k=3),Accuracy,0.6270277967646389
3,cbow,50,SVM,Accuracy,0.5999487354750512
4,cbow,50,Linear Regression,RMSE,29.17862824394598
5,cbow,50,KNN (k=3) Regressor,RMSE,25.87551607153867
6,cbow,50,M5Rules,RMSE,40.22932511139181
7,cbow,100,Naive Bayes,Accuracy,0.5240886306675779
8,cbow,100,C4.5,Accuracy,0.5849681020733651
9,cbow,100,KNN (k=3),Accuracy,0.618028024606972
10,cbow,100,SVM,Accuracy,0.5871781727044885
11,cbow,100,Linear Regression,RMSE,30.468621639827557
12,cbow,100,KNN (k=3) Regressor,RMSE,24.477083436044133
13,cbow,100,M5Rules,RMSE,42.75596465658232
14,cbow,200,Naive Bayes,Accuracy,0.5135452267031214
15,cbow,200,C4.5,Accuracy,0.5737012987012986
16,cbow,200,KNN (k=3),Accuracy,0.6496069719753931
17,cbow,200,SVM,Accuracy,0.5871212121212122
18,cbow,200,Linear Regression,RMSE,33.31742812274535
19,cbow,200,KNN (k=3) Regressor,RMSE,26.366564967132508
20,cbow,200,M5Rules,RMSE,45.87274234833453
21,sg,50,Naive Bayes,Accuracy,0.45254044201412624
22,sg,50,C4.5,Accuracy,0.5767714741398952
23,sg,50,KNN (k=3),Accuracy,0.6301492367281841
24,sg,50,SVM,Accuracy,0.6391262246525404
25,sg,50,Linear Regression,RMSE,29.539078229289224
26,sg,50,KNN (k=3) Regressor,RMSE,33.541059984316085
27,sg,50,M5Rules,RMSE,46.27236248580518
28,sg,100,Naive Bayes,Accuracy,0.43676236044657096
29,sg,100,C4.5,Accuracy,0.5541296422875369
30,sg,100,KNN (k=3),Accuracy,0.6309182046024151
31,sg,100,SVM,Accuracy,0.6384028252449305
32,sg,100,Linear Regression,RMSE,31.104688647351047
33,sg,100,KNN (k=3) Regressor,RMSE,29.434007786700118
34,sg,100,M5Rules,RMSE,53.385568027662416
35,sg,200,Naive Bayes,Accuracy,0.4442583732057416
36,sg,200,C4.5,Accuracy,0.5610218728639781
37,sg,200,KNN (k=3),Accuracy,0.6347231715652769
38,sg,200,SVM,Accuracy,0.644395078605605
39,sg,200,Linear Regression,RMSE,35.970130683706095
40,sg,200,KNN (k=3) Regressor,RMSE,28.289300289047958
41,sg,200,M5Rules,RMSE,45.25429453947761
