,Embedding Mode,Dimensions,Classifier/Regressor,Metric,Score
0,cbow,50,Naive Bayes,Accuracy,0.5203349282296651
1,cbow,50,C4.5,Accuracy,0.5563795853269538
2,cbow,50,KNN (k=3),Accuracy,0.6089428115743906
3,cbow,50,SVM,Accuracy,0.61504329004329
4,cbow,50,Linear Regression,RMSE,28.6185889631421
5,cbow,50,KNN (k=3) Regressor,RMSE,27.629569317889985
6,cbow,50,M5Rules,RMSE,42.31237745570619
7,cbow,100,Naive Bayes,Accuracy,0.5135509227614491
8,cbow,100,C4.5,Accuracy,0.58796992481203
9,cbow,100,KNN (k=3),Accuracy,0.6368478013214856
10,cbow,100,SVM,Accuracy,0.596952608794714
11,cbow,100,Linear Regression,RMSE,30.458488044555843
12,cbow,100,KNN (k=3) Regressor,RMSE,25.450069603689553
13,cbow,100,M5Rules,RMSE,51.17602869134593
14,cbow,200,Naive Bayes,Accuracy,0.5150489861016176
15,cbow,200,C4.5,Accuracy,0.5601105035315561
16,cbow,200,KNN (k=3),Accuracy,0.63008658008658
17,cbow,200,SVM,Accuracy,0.6300353155616314
18,cbow,200,Linear Regression,RMSE,32.897589325346196
19,cbow,200,KNN (k=3) Regressor,RMSE,24.289113784235774
20,cbow,200,M5Rules,RMSE,40.34619819293995
21,sg,50,Naive Bayes,Accuracy,0.45255753018910916
22,sg,50,C4.5,Accuracy,0.5428685349737983
23,sg,50,KNN (k=3),Accuracy,0.6173843700159489
24,sg,50,SVM,Accuracy,0.6278708133971291
25,sg,50,Linear Regression,RMSE,28.609776004549722
26,sg,50,KNN (k=3) Regressor,RMSE,30.4561751261382
27,sg,50,M5Rules,RMSE,47.0502798487917
28,sg,100,Naive Bayes,Accuracy,0.4420198222829802
29,sg,100,C4.5,Accuracy,0.5587149692412849
30,sg,100,KNN (k=3),Accuracy,0.6098541809068125
31,sg,100,SVM,Accuracy,0.6324162679425838
32,sg,100,Linear Regression,RMSE,32.108864982304766
33,sg,100,KNN (k=3) Regressor,RMSE,27.455361938959772
34,sg,100,M5Rules,RMSE,51.202240454181855
35,sg,200,Naive Bayes,Accuracy,0.43675666438824334
36,sg,200,C4.5,Accuracy,0.5617110959216223
37,sg,200,KNN (k=3),Accuracy,0.61058327637275
38,sg,200,SVM,Accuracy,0.6211095921622238
39,sg,200,Linear Regression,RMSE,34.65821811117877
40,sg,200,KNN (k=3) Regressor,RMSE,30.086114224537784
41,sg,200,M5Rules,RMSE,52.01444703746388
