,Embedding Mode,Dimensions,Classifier/Regressor,Metric,Score
0,cbow,50,Naive Bayes,Accuracy,0.5180508088402825
1,cbow,50,C4.5,Accuracy,0.5639268626110733
2,cbow,50,KNN (k=3),Accuracy,0.614997721576669
3,cbow,50,SVM,Accuracy,0.6134654818865346
4,cbow,50,Linear Regression,RMSE,29.87460480641314
5,cbow,50,KNN (k=3) Regressor,RMSE,25.478299923670804
6,cbow,50,M5Rules,RMSE,47.92729854118885
7,cbow,100,Naive Bayes,Accuracy,0.5173160173160174
8,cbow,100,C4.5,Accuracy,0.5736956026429711
9,cbow,100,KNN (k=3),Accuracy,0.6301036682615629
10,cbow,100,SVM,Accuracy,0.597015265436318
11,cbow,100,Linear Regression,RMSE,30.361175931020465
12,cbow,100,KNN (k=3) Regressor,RMSE,24.243561617255732
13,cbow,100,M5Rules,RMSE,44.330592686872556
14,cbow,200,Naive Bayes,Accuracy,0.5105491000227842
15,cbow,200,C4.5,Accuracy,0.5623376623376624
16,cbow,200,KNN (k=3),Accuracy,0.6195317840054682
17,cbow,200,SVM,Accuracy,0.602967646388699
18,cbow,200,Linear Regression,RMSE,33.65691018708749
19,cbow,200,KNN (k=3) Regressor,RMSE,25.69338408924109
20,cbow,200,M5Rules,RMSE,40.75527718243824
21,sg,50,Naive Bayes,Accuracy,0.4563055365686945
22,sg,50,C4.5,Accuracy,0.5767486899065847
23,sg,50,KNN (k=3),Accuracy,0.6376965140123035
24,sg,50,SVM,Accuracy,0.6308669400774664
25,sg,50,Linear Regression,RMSE,30.28558345524592
26,sg,50,KNN (k=3) Regressor,RMSE,29.041780480378037
27,sg,50,M5Rules,RMSE,40.64056871946022
28,sg,100,Naive Bayes,Accuracy,0.443529277739804
29,sg,100,C4.5,Accuracy,0.5541866028708134
30,sg,100,KNN (k=3),Accuracy,0.6467361585782638
31,sg,100,SVM,Accuracy,0.6270790612895876
32,sg,100,Linear Regression,RMSE,32.29226240185827
33,sg,100,KNN (k=3) Regressor,RMSE,27.847833128395244
34,sg,100,M5Rules,RMSE,46.01332979797672
35,sg,200,Naive Bayes,Accuracy,0.4412679425837321
36,sg,200,C4.5,Accuracy,0.5495898838004101
37,sg,200,KNN (k=3),Accuracy,0.6112838915470495
38,sg,200,SVM,Accuracy,0.6172875370243791
39,sg,200,Linear Regression,RMSE,37.33837328856462
40,sg,200,KNN (k=3) Regressor,RMSE,29.395337240164515
41,sg,200,M5Rules,RMSE,43.44923523900454
