,Embedding Mode,Dimensions,Classifier/Regressor,Metric,Score
0,cbow,50,Naive Bayes,Accuracy,0.5240658464342676
1,cbow,50,C4.5,Accuracy,0.5872408293460925
2,cbow,50,KNN (k=3),Accuracy,0.6097003873319662
3,cbow,50,SVM,Accuracy,0.5917179311916153
4,cbow,50,Linear Regression,RMSE,28.81030574290505
5,cbow,50,KNN (k=3) Regressor,RMSE,25.654151939404528
6,cbow,50,M5Rules,RMSE,43.23228909258033
7,cbow,100,Naive Bayes,Accuracy,0.5120357712462975
8,cbow,100,C4.5,Accuracy,0.5570574162679426
9,cbow,100,KNN (k=3),Accuracy,0.611950330371383
10,cbow,100,SVM,Accuracy,0.5984677603098657
11,cbow,100,Linear Regression,RMSE,30.323455339511394
12,cbow,100,KNN (k=3) Regressor,RMSE,25.77340194452451
13,cbow,100,M5Rules,RMSE,50.395082392097414
14,cbow,200,Naive Bayes,Accuracy,0.5150717703349283
15,cbow,200,C4.5,Accuracy,0.5713716108452951
16,cbow,200,KNN (k=3),Accuracy,0.6292777398040557
17,cbow,200,SVM,Accuracy,0.6157837776258829
18,cbow,200,Linear Regression,RMSE,32.72505215198074
19,cbow,200,KNN (k=3) Regressor,RMSE,26.120289316510917
20,cbow,200,M5Rules,RMSE,41.091175236795664
21,sg,50,Naive Bayes,Accuracy,0.45632262474367735
22,sg,50,C4.5,Accuracy,0.5496582365003416
23,sg,50,KNN (k=3),Accuracy,0.6354294827979039
24,sg,50,SVM,Accuracy,0.6323877876509455
25,sg,50,Linear Regression,RMSE,30.292127809146013
26,sg,50,KNN (k=3) Regressor,RMSE,30.116691404165856
27,sg,50,M5Rules,RMSE,50.59268983190402
28,sg,100,Naive Bayes,Accuracy,0.44879243563454085
29,sg,100,C4.5,Accuracy,0.5564707222601959
30,sg,100,KNN (k=3),Accuracy,0.6060435178856232
31,sg,100,SVM,Accuracy,0.6316359079516974
32,sg,100,Linear Regression,RMSE,31.942380767357
33,sg,100,KNN (k=3) Regressor,RMSE,30.025357631003818
34,sg,100,M5Rules,RMSE,45.678634082501546
35,sg,200,Naive Bayes,Accuracy,0.4457849168375484
36,sg,200,C4.5,Accuracy,0.5714399635452267
37,sg,200,KNN (k=3),Accuracy,0.6301264524948734
38,sg,200,SVM,Accuracy,0.6323991797676008
39,sg,200,Linear Regression,RMSE,34.87276563639905
40,sg,200,KNN (k=3) Regressor,RMSE,29.418302490607495
41,sg,200,M5Rules,RMSE,49.74998443047179
