,Embedding Mode,Dimensions,Classifier/Regressor,Metric,Score
0,cbow,50,Naive Bayes,Accuracy,0.5142914103440419
1,cbow,50,C4.5,Accuracy,0.5548017771701982
2,cbow,50,KNN (k=3),Accuracy,0.6157552973342446
3,cbow,50,SVM,Accuracy,0.5954431533378901
4,cbow,50,Linear Regression,RMSE,28.941276754044015
5,cbow,50,KNN (k=3) Regressor,RMSE,26.59490429295725
6,cbow,50,M5Rules,RMSE,42.47836950222725
7,cbow,100,Naive Bayes,Accuracy,0.5120585554796081
8,cbow,100,C4.5,Accuracy,0.5826555023923445
9,cbow,100,KNN (k=3),Accuracy,0.6307758031442241
10,cbow,100,SVM,Accuracy,0.6120357712462976
11,cbow,100,Linear Regression,RMSE,30.733852732181436
12,cbow,100,KNN (k=3) Regressor,RMSE,26.23000676330134
13,cbow,100,M5Rules,RMSE,48.20054902370064
14,cbow,200,Naive Bayes,Accuracy,0.5165812257917521
15,cbow,200,C4.5,Accuracy,0.5518683071314651
16,cbow,200,KNN (k=3),Accuracy,0.6149920255183413
17,cbow,200,SVM,Accuracy,0.586397812713602
18,cbow,200,Linear Regression,RMSE,33.22392866665442
19,cbow,200,KNN (k=3) Regressor,RMSE,26.064784401193542
20,cbow,200,M5Rules,RMSE,44.6017382734076
21,sg,50,Naive Bayes,Accuracy,0.4585725677830941
22,sg,50,C4.5,Accuracy,0.5638926862611073
23,sg,50,KNN (k=3),Accuracy,0.6278594212804739
24,sg,50,SVM,Accuracy,0.6383800410116199
25,sg,50,Linear Regression,RMSE,30.238419717257862
26,sg,50,KNN (k=3) Regressor,RMSE,29.876155838346023
27,sg,50,M5Rules,RMSE,46.136328227606015
28,sg,100,Naive Bayes,Accuracy,0.44653679653679657
29,sg,100,C4.5,Accuracy,0.5661995898838004
30,sg,100,KNN (k=3),Accuracy,0.6263841421736158
31,sg,100,SVM,Accuracy,0.6624743677375257
32,sg,100,Linear Regression,RMSE,31.69342415601987
33,sg,100,KNN (k=3) Regressor,RMSE,30.164885557168986
34,sg,100,M5Rules,RMSE,50.87168969056985
35,sg,200,Naive Bayes,Accuracy,0.4390009113693324
36,sg,200,C4.5,Accuracy,0.5850250626566416
37,sg,200,KNN (k=3),Accuracy,0.6226418318523582
38,sg,200,SVM,Accuracy,0.6339143312827524
39,sg,200,Linear Regression,RMSE,34.89654620223921
40,sg,200,KNN (k=3) Regressor,RMSE,30.13938091262083
41,sg,200,M5Rules,RMSE,42.10596001796249
