,Embedding Mode,Dimensions,Classifier/Regressor,Metric,Score
0,cbow,50,Naive Bayes,Accuracy,0.5195602642971064
1,cbow,50,C4.5,Accuracy,0.558572567783094
2,cbow,50,KNN (k=3),Accuracy,0.6142572339940761
3,cbow,50,SVM,Accuracy,0.600706311232627
4,cbow,50,Linear Regression,RMSE,28.840317072041426
5,cbow,50,KNN (k=3) Regressor,RMSE,24.659223807730132
6,cbow,50,M5Rules,RMSE,44.70944467785779
7,cbow,100,Naive Bayes,Accuracy,0.5135452267031213
8,cbow,100,C4.5,Accuracy,0.5721007063112326
9,cbow,100,KNN (k=3),Accuracy,0.627779676463887
10,cbow,100,SVM,Accuracy,0.5976532239690135
11,cbow,100,Linear Regression,RMSE,30.736663006022315
12,cbow,100,KNN (k=3) Regressor,RMSE,26.358667385867584
13,cbow,100,M5Rules,RMSE,40.78780430370471
14,cbow,200,Naive Bayes,Accuracy,0.5120414673046251
15,cbow,200,C4.5,Accuracy,0.5827010708589656
16,cbow,200,KNN (k=3),Accuracy,0.6255525176577809
17,cbow,200,SVM,Accuracy,0.5969583048530417
18,cbow,200,Linear Regression,RMSE,33.58184380327332
19,cbow,200,KNN (k=3) Regressor,RMSE,27.06044183204629
20,cbow,200,M5Rules,RMSE,49.5423634816909
21,sg,50,Naive Bayes,Accuracy,0.45704602415128726
22,sg,50,C4.5,Accuracy,0.550393028024607
23,sg,50,KNN (k=3),Accuracy,0.6451640464798358
24,sg,50,SVM,Accuracy,0.6271758942811574
25,sg,50,Linear Regression,RMSE,29.450210689509426
26,sg,50,KNN (k=3) Regressor,RMSE,27.701108761185566
27,sg,50,M5Rules,RMSE,43.09568863658801
28,sg,100,Naive Bayes,Accuracy,0.4457735247208931
29,sg,100,C4.5,Accuracy,0.5594326725905673
30,sg,100,KNN (k=3),Accuracy,0.6174014581909318
31,sg,100,SVM,Accuracy,0.6256322624743678
32,sg,100,Linear Regression,RMSE,31.399012944919008
33,sg,100,KNN (k=3) Regressor,RMSE,30.64376869035102
34,sg,100,M5Rules,RMSE,47.659228801126105
35,sg,200,Naive Bayes,Accuracy,0.44127363864205965
36,sg,200,C4.5,Accuracy,0.5707393483709272
37,sg,200,KNN (k=3),Accuracy,0.6196001367053998
38,sg,200,SVM,Accuracy,0.632365003417635
39,sg,200,Linear Regression,RMSE,36.2670557118784
40,sg,200,KNN (k=3) Regressor,RMSE,28.251368110447608
41,sg,200,M5Rules,RMSE,53.74081840549339
