,Embedding Mode,Dimensions,Classifier/Regressor,Metric,Score
0,cbow,50,Naive Bayes,Accuracy,0.5143028024606972
1,cbow,50,C4.5,Accuracy,0.566911597174755
2,cbow,50,KNN (k=3),Accuracy,0.6067042606516291
3,cbow,50,SVM,Accuracy,0.598444976076555
4,cbow,50,Linear Regression,RMSE,28.757347270922253
5,cbow,50,KNN (k=3) Regressor,RMSE,26.674467262199393
6,cbow,50,M5Rules,RMSE,38.13580897759091
7,cbow,100,Naive Bayes,Accuracy,0.5142971064023695
8,cbow,100,C4.5,Accuracy,0.5879756208703577
9,cbow,100,KNN (k=3),Accuracy,0.6180166324903167
10,cbow,100,SVM,Accuracy,0.5856744133059923
11,cbow,100,Linear Regression,RMSE,31.312203617467304
12,cbow,100,KNN (k=3) Regressor,RMSE,26.187340977010685
13,cbow,100,M5Rules,RMSE,41.622845921635886
14,cbow,200,Naive Bayes,Accuracy,0.5112895876053771
15,cbow,200,C4.5,Accuracy,0.565436318067897
16,cbow,200,KNN (k=3),Accuracy,0.6375370243791296
17,cbow,200,SVM,Accuracy,0.5976987924356345
18,cbow,200,Linear Regression,RMSE,33.55652603163052
19,cbow,200,KNN (k=3) Regressor,RMSE,26.295961509451047
20,cbow,200,M5Rules,RMSE,39.49162865861062
21,sg,50,Naive Bayes,Accuracy,0.45857826384142175
22,sg,50,C4.5,Accuracy,0.5624686716791979
23,sg,50,KNN (k=3),Accuracy,0.6361585782638415
24,sg,50,SVM,Accuracy,0.6128332194121668
25,sg,50,Linear Regression,RMSE,29.309900386345742
26,sg,50,KNN (k=3) Regressor,RMSE,28.56902386812755
27,sg,50,M5Rules,RMSE,44.97874487878873
28,sg,100,Naive Bayes,Accuracy,0.4397527910685805
29,sg,100,C4.5,Accuracy,0.5624060150375939
30,sg,100,KNN (k=3),Accuracy,0.6158635224424698
31,sg,100,SVM,Accuracy,0.6323706994759626
32,sg,100,Linear Regression,RMSE,31.511274117176914
33,sg,100,KNN (k=3) Regressor,RMSE,29.127314374781683
34,sg,100,M5Rules,RMSE,46.22693849561534
35,sg,200,Naive Bayes,Accuracy,0.4435007974481658
36,sg,200,C4.5,Accuracy,0.6046764638869901
37,sg,200,KNN (k=3),Accuracy,0.6256721348826612
38,sg,200,SVM,Accuracy,0.62333675096833
39,sg,200,Linear Regression,RMSE,35.74052096375387
40,sg,200,KNN (k=3) Regressor,RMSE,28.462966845112476
41,sg,200,M5Rules,RMSE,44.64284815133796
