,Embedding Mode,Dimensions,Classifier/Regressor,Metric,Score
0,cbow,50,Naive Bayes,Accuracy,0.5218386876281613
1,cbow,50,C4.5,Accuracy,0.5736443381180222
2,cbow,50,KNN (k=3),Accuracy,0.6225506949191161
3,cbow,50,SVM,Accuracy,0.5954659375712007
4,cbow,50,Linear Regression,RMSE,29.287308824397265
5,cbow,50,KNN (k=3) Regressor,RMSE,26.355593131709202
6,cbow,50,M5Rules,RMSE,46.49504154895236
7,cbow,100,Naive Bayes,Accuracy,0.5037650945545682
8,cbow,100,C4.5,Accuracy,0.5699248120300752
9,cbow,100,KNN (k=3),Accuracy,0.6330997949419002
10,cbow,100,SVM,Accuracy,0.620289359763044
11,cbow,100,Linear Regression,RMSE,31.082867327609087
12,cbow,100,KNN (k=3) Regressor,RMSE,26.415370627215758
13,cbow,100,M5Rules,RMSE,53.073704459705894
14,cbow,200,Naive Bayes,Accuracy,0.517304625199362
15,cbow,200,C4.5,Accuracy,0.6082535885167464
16,cbow,200,KNN (k=3),Accuracy,0.6390806561859192
17,cbow,200,SVM,Accuracy,0.6225165185691501
18,cbow,200,Linear Regression,RMSE,33.015936608118594
19,cbow,200,KNN (k=3) Regressor,RMSE,25.562550358294615
20,cbow,200,M5Rules,RMSE,46.5112877410569
21,sg,50,Naive Bayes,Accuracy,0.4593187514240145
22,sg,50,C4.5,Accuracy,0.5722601959444065
23,sg,50,KNN (k=3),Accuracy,0.6173444976076554
24,sg,50,SVM,Accuracy,0.6271246297562088
25,sg,50,Linear Regression,RMSE,30.129160354605705
26,sg,50,KNN (k=3) Regressor,RMSE,28.73389925954026
27,sg,50,M5Rules,RMSE,46.03702356442451
28,sg,100,Naive Bayes,Accuracy,0.44426406926406925
29,sg,100,C4.5,Accuracy,0.5835554796081113
30,sg,100,KNN (k=3),Accuracy,0.6233310549100023
31,sg,100,SVM,Accuracy,0.6150660742766006
32,sg,100,Linear Regression,RMSE,30.99212977821466
33,sg,100,KNN (k=3) Regressor,RMSE,31.577564327379644
34,sg,100,M5Rules,RMSE,47.4517846892502
35,sg,200,Naive Bayes,Accuracy,0.43974139895192516
36,sg,200,C4.5,Accuracy,0.5729266347687401
37,sg,200,KNN (k=3),Accuracy,0.6376851218956482
38,sg,200,SVM,Accuracy,0.623319662793347
39,sg,200,Linear Regression,RMSE,36.413532218751506
40,sg,200,KNN (k=3) Regressor,RMSE,30.5783611300652
41,sg,200,M5Rules,RMSE,49.873846361675774
