,Embedding Mode,Dimensions,Classifier/Regressor,Metric,Score
0,cbow,50,Naive Bayes,Accuracy,0.5638015493278652
1,cbow,50,C4.5,Accuracy,0.5179938482570061
2,cbow,50,KNN (k=3),Accuracy,0.5465823650034175
3,cbow,50,SVM,Accuracy,0.5247721576668944
4,cbow,50,Linear Regression,RMSE,31.780191480955143
5,cbow,50,KNN (k=3) Regressor,RMSE,28.17782013205285
6,cbow,50,M5Rules,RMSE,46.81726342439915
7,cbow,100,Naive Bayes,Accuracy,0.572863978127136
8,cbow,100,C4.5,Accuracy,0.5134768740031898
9,cbow,100,KNN (k=3),Accuracy,0.5405502392344499
10,cbow,100,SVM,Accuracy,0.474419002050581
11,cbow,100,Linear Regression,RMSE,35.55152130540206
12,cbow,100,KNN (k=3) Regressor,RMSE,26.07935375203411
13,cbow,100,M5Rules,RMSE,46.50286689224347
14,cbow,200,Naive Bayes,Accuracy,0.5713431305536568
15,cbow,200,C4.5,Accuracy,0.5149578491683755
16,cbow,200,KNN (k=3),Accuracy,0.5247436773752563
17,cbow,200,SVM,Accuracy,0.5037195260879471
18,cbow,200,Linear Regression,RMSE,34.75817990596581
19,cbow,200,KNN (k=3) Regressor,RMSE,26.42926978252176
20,cbow,200,M5Rules,RMSE,53.24135528606526
21,sg,50,Naive Bayes,Accuracy,0.5549612668033721
22,sg,50,C4.5,Accuracy,0.4909831396673502
23,sg,50,KNN (k=3),Accuracy,0.549715197083618
24,sg,50,SVM,Accuracy,0.6219469127363864
25,sg,50,Linear Regression,RMSE,29.220571582905364
26,sg,50,KNN (k=3) Regressor,RMSE,30.599902427166306
27,sg,50,M5Rules,RMSE,54.5172313383639
28,sg,100,Naive Bayes,Accuracy,0.5768341307814993
29,sg,100,C4.5,Accuracy,0.5143255866940077
30,sg,100,KNN (k=3),Accuracy,0.5572226019594441
31,sg,100,SVM,Accuracy,0.6745841877420824
32,sg,100,Linear Regression,RMSE,30.84590551658644
33,sg,100,KNN (k=3) Regressor,RMSE,30.80861820730376
34,sg,100,M5Rules,RMSE,54.00420066559839
35,sg,200,Naive Bayes,Accuracy,0.5549954431533378
36,sg,200,C4.5,Accuracy,0.4803770790612896
37,sg,200,KNN (k=3),Accuracy,0.5707621326042378
38,sg,200,SVM,Accuracy,0.6489747095010253
39,sg,200,Linear Regression,RMSE,33.90477184670919
40,sg,200,KNN (k=3) Regressor,RMSE,27.04185659838249
41,sg,200,M5Rules,RMSE,53.7515100787536
