,Embedding Mode,Dimensions,Classifier/Regressor,Metric,Score
0,cbow,50,Naive Bayes,Accuracy,0.7123223909848114
1,cbow,50,C4.5,Accuracy,0.7552057814796667
2,cbow,50,KNN (k=3),Accuracy,0.8735015515270292
3,cbow,50,SVM,Accuracy,0.8728074473297402
4,cbow,50,Linear Regression,RMSE,13.794288225187398
5,cbow,50,KNN (k=3) Regressor,RMSE,12.355490648219138
6,cbow,50,M5Rules,RMSE,15.877689337896935
7,cbow,100,Naive Bayes,Accuracy,0.6880328270455659
8,cbow,100,C4.5,Accuracy,0.7582475910501388
9,cbow,100,KNN (k=3),Accuracy,0.8594112363220644
10,cbow,100,SVM,Accuracy,0.8650947248081005
11,cbow,100,Linear Regression,RMSE,14.226352035222963
12,cbow,100,KNN (k=3) Regressor,RMSE,11.640016118754307
13,cbow,100,M5Rules,RMSE,17.009588591320856
14,cbow,200,Naive Bayes,Accuracy,0.7372897272578801
15,cbow,200,C4.5,Accuracy,0.7864078066307365
16,cbow,200,KNN (k=3),Accuracy,0.8651845500571614
17,cbow,200,SVM,Accuracy,0.8920259676629103
18,cbow,200,Linear Regression,RMSE,12.430761836207633
19,cbow,200,KNN (k=3) Regressor,RMSE,12.937138617472783
20,cbow,200,M5Rules,RMSE,16.99655146355005
21,sg,50,Naive Bayes,Accuracy,0.7001388208394578
22,sg,50,C4.5,Accuracy,0.7615139637432632
23,sg,50,KNN (k=3),Accuracy,0.9213906581740977
24,sg,50,SVM,Accuracy,0.9239180140454024
25,sg,50,Linear Regression,RMSE,12.872709572410633
26,sg,50,KNN (k=3) Regressor,RMSE,8.795219563339801
27,sg,50,M5Rules,RMSE,16.1632229409962
28,sg,100,Naive Bayes,Accuracy,0.6880736567042299
29,sg,100,C4.5,Accuracy,0.8011350645108607
30,sg,100,KNN (k=3),Accuracy,0.9175526702596765
31,sg,100,SVM,Accuracy,0.9194349175240892
32,sg,100,Linear Regression,RMSE,13.13923447948729
33,sg,100,KNN (k=3) Regressor,RMSE,9.33143379434632
34,sg,100,M5Rules,RMSE,14.779569699564203
35,sg,200,Naive Bayes,Accuracy,0.714906908378246
36,sg,200,C4.5,Accuracy,0.8318063040992977
37,sg,200,KNN (k=3),Accuracy,0.9194757471827535
38,sg,200,SVM,Accuracy,0.9207210517720071
39,sg,200,Linear Regression,RMSE,13.429064419330837
40,sg,200,KNN (k=3) Regressor,RMSE,9.060795016660496
41,sg,200,M5Rules,RMSE,15.312039596303867
