,Embedding Mode,Dimensions,Classifier/Regressor,Metric,Score
0,cbow,50,Naive Bayes,Accuracy,0.684880777396701
1,cbow,50,C4.5,Accuracy,0.7276212640862323
2,cbow,50,KNN (k=3),Accuracy,0.8575085742283195
3,cbow,50,SVM,Accuracy,0.8312387718438673
4,cbow,50,Linear Regression,RMSE,15.275251914709965
5,cbow,50,KNN (k=3) Regressor,RMSE,12.260712120625822
6,cbow,50,M5Rules,RMSE,18.159144164939427
7,cbow,100,Naive Bayes,Accuracy,0.6956638902498775
8,cbow,100,C4.5,Accuracy,0.7646333496651968
9,cbow,100,KNN (k=3),Accuracy,0.8433692634329576
10,cbow,100,SVM,Accuracy,0.8471868365180468
11,cbow,100,Linear Regression,RMSE,13.976919784012605
12,cbow,100,KNN (k=3) Regressor,RMSE,13.209939681445675
13,cbow,100,M5Rules,RMSE,17.388825599385488
14,cbow,200,Naive Bayes,Accuracy,0.7168054875061244
15,cbow,200,C4.5,Accuracy,0.7519271598889434
16,cbow,200,KNN (k=3),Accuracy,0.865792911971256
17,cbow,200,SVM,Accuracy,0.8587457128858403
18,cbow,200,Linear Regression,RMSE,14.45532693634873
19,cbow,200,KNN (k=3) Regressor,RMSE,12.445993178752875
20,cbow,200,M5Rules,RMSE,17.377836633460138
21,sg,50,Naive Bayes,Accuracy,0.6918667319941205
22,sg,50,C4.5,Accuracy,0.778152049648865
23,sg,50,KNN (k=3),Accuracy,0.9118038543197778
24,sg,50,SVM,Accuracy,0.9271027274211988
25,sg,50,Linear Regression,RMSE,12.691097068758808
26,sg,50,KNN (k=3) Regressor,RMSE,8.972625830411882
27,sg,50,M5Rules,RMSE,16.023287871152014
28,sg,100,Naive Bayes,Accuracy,0.6656581740976646
29,sg,100,C4.5,Accuracy,0.7818797974848931
30,sg,100,KNN (k=3),Accuracy,0.9239506777723336
31,sg,100,SVM,Accuracy,0.9207373836354729
32,sg,100,Linear Regression,RMSE,13.282080580577704
33,sg,100,KNN (k=3) Regressor,RMSE,9.188218199587054
34,sg,100,M5Rules,RMSE,15.497288405805184
35,sg,200,Naive Bayes,Accuracy,0.7027315041646253
36,sg,200,C4.5,Accuracy,0.7902988731014209
37,sg,200,KNN (k=3),Accuracy,0.9118038543197778
38,sg,200,SVM,Accuracy,0.9277641678915562
39,sg,200,Linear Regression,RMSE,12.942397448929805
40,sg,200,KNN (k=3) Regressor,RMSE,9.263001513384514
41,sg,200,M5Rules,RMSE,14.599868200329741
