,Embedding Mode,Dimensions,Classifier/Regressor,Metric,Score
0,cbow,50,Naive Bayes,Accuracy,0.6822880940715336
1,cbow,50,C4.5,Accuracy,0.7467948717948718
2,cbow,50,KNN (k=3),Accuracy,0.8478931896129348
3,cbow,50,SVM,Accuracy,0.8567654744406337
4,cbow,50,Linear Regression,RMSE,12.390754190714869
5,cbow,50,KNN (k=3) Regressor,RMSE,12.87175778986867
6,cbow,50,M5Rules,RMSE,16.348539895929925
7,cbow,100,Naive Bayes,Accuracy,0.6802425281724644
8,cbow,100,C4.5,Accuracy,0.7653478686918177
9,cbow,100,KNN (k=3),Accuracy,0.8536869181773641
10,cbow,100,SVM,Accuracy,0.8772456312265229
11,cbow,100,Linear Regression,RMSE,14.103771009215311
12,cbow,100,KNN (k=3) Regressor,RMSE,11.937839557389665
13,cbow,100,M5Rules,RMSE,16.666182310545743
14,cbow,200,Naive Bayes,Accuracy,0.6764821166095051
15,cbow,200,C4.5,Accuracy,0.7480932549403887
16,cbow,200,KNN (k=3),Accuracy,0.8568308018944963
17,cbow,200,SVM,Accuracy,0.8375020414829333
18,cbow,200,Linear Regression,RMSE,15.522847446923752
19,cbow,200,KNN (k=3) Regressor,RMSE,12.288793892620399
20,cbow,200,M5Rules,RMSE,17.251227106995838
21,sg,50,Naive Bayes,Accuracy,0.7213008329250368
22,sg,50,C4.5,Accuracy,0.7895966029723991
23,sg,50,KNN (k=3),Accuracy,0.9201412706189777
24,sg,50,SVM,Accuracy,0.9296913277804999
25,sg,50,Linear Regression,RMSE,11.999328148186619
26,sg,50,KNN (k=3) Regressor,RMSE,9.147903625185233
27,sg,50,M5Rules,RMSE,15.579933264955343
28,sg,100,Naive Bayes,Accuracy,0.6899314061734444
29,sg,100,C4.5,Accuracy,0.7653233708966193
30,sg,100,KNN (k=3),Accuracy,0.9169157275845172
31,sg,100,SVM,Accuracy,0.9258451739343458
32,sg,100,Linear Regression,RMSE,12.609583461053598
33,sg,100,KNN (k=3) Regressor,RMSE,8.94656574338784
34,sg,100,M5Rules,RMSE,16.61498180716663
35,sg,200,Naive Bayes,Accuracy,0.7129348358647722
36,sg,200,C4.5,Accuracy,0.8043810223746529
37,sg,200,KNN (k=3),Accuracy,0.916266536011759
38,sg,200,SVM,Accuracy,0.9123918014045402
39,sg,200,Linear Regression,RMSE,13.44115930626587
40,sg,200,KNN (k=3) Regressor,RMSE,9.439266836282957
41,sg,200,M5Rules,RMSE,15.964219848783753
