,Embedding Mode,Dimensions,Classifier/Regressor,Metric,Score
0,cbow,50,Naive Bayes,Accuracy,0.7641964723174914
1,cbow,50,C4.5,Accuracy,0.7583129185040013
2,cbow,50,KNN (k=3),Accuracy,0.8543401927159888
3,cbow,50,SVM,Accuracy,0.8778784909358158
4,cbow,50,Linear Regression,RMSE,12.15497176156377
5,cbow,50,KNN (k=3) Regressor,RMSE,12.424604976728958
6,cbow,50,M5Rules,RMSE,17.78118841123698
7,cbow,100,Naive Bayes,Accuracy,0.6572350155152702
8,cbow,100,C4.5,Accuracy,0.7672995263759594
9,cbow,100,KNN (k=3),Accuracy,0.8664829332026784
10,cbow,100,SVM,Accuracy,0.8440388698350482
11,cbow,100,Linear Regression,RMSE,13.624728169191746
12,cbow,100,KNN (k=3) Regressor,RMSE,12.034029731946243
13,cbow,100,M5Rules,RMSE,18.99356432611274
14,cbow,200,Naive Bayes,Accuracy,0.7027478360280908
15,cbow,200,C4.5,Accuracy,0.718181447003103
16,cbow,200,KNN (k=3),Accuracy,0.8491793238608525
17,cbow,200,SVM,Accuracy,0.854915890903152
18,cbow,200,Linear Regression,RMSE,14.27932361644967
19,cbow,200,KNN (k=3) Regressor,RMSE,13.32105382233471
20,cbow,200,M5Rules,RMSE,17.326559161696288
21,sg,50,Naive Bayes,Accuracy,0.6835946431487833
22,sg,50,C4.5,Accuracy,0.7793769394087865
23,sg,50,KNN (k=3),Accuracy,0.9258900865588764
24,sg,50,SVM,Accuracy,0.9142944634982852
25,sg,50,Linear Regression,RMSE,12.876213801950973
26,sg,50,KNN (k=3) Regressor,RMSE,9.200187901497406
27,sg,50,M5Rules,RMSE,16.026354625222673
28,sg,100,Naive Bayes,Accuracy,0.6937571451902662
29,sg,100,C4.5,Accuracy,0.7383594643148783
30,sg,100,KNN (k=3),Accuracy,0.9201249387555122
31,sg,100,SVM,Accuracy,0.9232565735750449
32,sg,100,Linear Regression,RMSE,12.607049673509298
33,sg,100,KNN (k=3) Regressor,RMSE,9.02144687954335
34,sg,100,M5Rules,RMSE,16.321724628757202
35,sg,200,Naive Bayes,Accuracy,0.7129919973869018
36,sg,200,C4.5,Accuracy,0.7844724808100604
37,sg,200,KNN (k=3),Accuracy,0.9226972072513474
38,sg,200,SVM,Accuracy,0.9258247591050137
39,sg,200,Linear Regression,RMSE,12.864987511787888
40,sg,200,KNN (k=3) Regressor,RMSE,9.016914139347946
41,sg,200,M5Rules,RMSE,15.087150178889905
