,Embedding Mode,Dimensions,Classifier/Regressor,Metric,Score
0,cbow,50,Naive Bayes,Accuracy,0.686060754532092
1,cbow,50,C4.5,Accuracy,0.7027723338232892
2,cbow,50,KNN (k=3),Accuracy,0.8767311775273559
3,cbow,50,SVM,Accuracy,0.8459986934509228
4,cbow,50,Linear Regression,RMSE,13.22729271017369
5,cbow,50,KNN (k=3) Regressor,RMSE,13.393948012071387
6,cbow,50,M5Rules,RMSE,18.167032145538702
7,cbow,100,Naive Bayes,Accuracy,0.6957455495672057
8,cbow,100,C4.5,Accuracy,0.7315449942838478
9,cbow,100,KNN (k=3),Accuracy,0.8549648864935488
10,cbow,100,SVM,Accuracy,0.8441286950841091
11,cbow,100,Linear Regression,RMSE,13.416357211191144
12,cbow,100,KNN (k=3) Regressor,RMSE,12.339184361017988
13,cbow,100,M5Rules,RMSE,17.656192728676395
14,cbow,200,Naive Bayes,Accuracy,0.7047811530295606
15,cbow,200,C4.5,Accuracy,0.7417279111546629
16,cbow,200,KNN (k=3),Accuracy,0.8632778049975501
17,cbow,200,SVM,Accuracy,0.8888045075943165
18,cbow,200,Linear Regression,RMSE,13.417404563694308
19,cbow,200,KNN (k=3) Regressor,RMSE,12.27582329474709
20,cbow,200,M5Rules,RMSE,18.478266684206922
21,sg,50,Naive Bayes,Accuracy,0.69510452392618
22,sg,50,C4.5,Accuracy,0.7665768414176056
23,sg,50,KNN (k=3),Accuracy,0.9169116446186509
24,sg,50,SVM,Accuracy,0.9137187653111221
25,sg,50,Linear Regression,RMSE,13.479167284607419
26,sg,50,KNN (k=3) Regressor,RMSE,9.239511867384682
27,sg,50,M5Rules,RMSE,16.064325504729588
28,sg,100,Naive Bayes,Accuracy,0.6995018781642985
29,sg,100,C4.5,Accuracy,0.7833170014698677
30,sg,100,KNN (k=3),Accuracy,0.9213784092764985
31,sg,100,SVM,Accuracy,0.9258615057978116
32,sg,100,Linear Regression,RMSE,12.10603479594845
33,sg,100,KNN (k=3) Regressor,RMSE,9.323376678727623
34,sg,100,M5Rules,RMSE,14.857132725466926
35,sg,200,Naive Bayes,Accuracy,0.7046382492242365
36,sg,200,C4.5,Accuracy,0.792818063040993
37,sg,200,KNN (k=3),Accuracy,0.9150171484566387
38,sg,200,SVM,Accuracy,0.9302996896945942
39,sg,200,Linear Regression,RMSE,12.55420438314969
40,sg,200,KNN (k=3) Regressor,RMSE,9.667034220107258
41,sg,200,M5Rules,RMSE,15.137898960745364
