,Embedding Mode,Dimensions,Classifier/Regressor,Metric,Score
0,cbow,50,Naive Bayes,Accuracy,0.6847991180793729
1,cbow,50,C4.5,Accuracy,0.716156295933366
2,cbow,50,KNN (k=3),Accuracy,0.8428139800751266
3,cbow,50,SVM,Accuracy,0.8581169361424139
4,cbow,50,Linear Regression,RMSE,13.514334890317546
5,cbow,50,KNN (k=3) Regressor,RMSE,12.083064276107548
6,cbow,50,M5Rules,RMSE,17.224170532157196
7,cbow,100,Naive Bayes,Accuracy,0.727629430017965
8,cbow,100,C4.5,Accuracy,0.7193736730360933
9,cbow,100,KNN (k=3),Accuracy,0.8689817083129185
10,cbow,100,SVM,Accuracy,0.8631063204311612
11,cbow,100,Linear Regression,RMSE,13.423720076972211
12,cbow,100,KNN (k=3) Regressor,RMSE,12.97466959960131
13,cbow,100,M5Rules,RMSE,16.84547382178932
14,cbow,200,Naive Bayes,Accuracy,0.6956802221133431
15,cbow,200,C4.5,Accuracy,0.7525110240078393
16,cbow,200,KNN (k=3),Accuracy,0.8408745712885841
17,cbow,200,SVM,Accuracy,0.8432794381838967
18,cbow,200,Linear Regression,RMSE,15.042573471511082
19,cbow,200,KNN (k=3) Regressor,RMSE,12.752811159665399
20,cbow,200,M5Rules,RMSE,17.604113376182298
21,sg,50,Naive Bayes,Accuracy,0.6995712885840274
22,sg,50,C4.5,Accuracy,0.7550792095378083
23,sg,50,KNN (k=3),Accuracy,0.925212314225053
24,sg,50,SVM,Accuracy,0.9239139310795361
25,sg,50,Linear Regression,RMSE,13.23931903875486
26,sg,50,KNN (k=3) Regressor,RMSE,9.334105965171059
27,sg,50,M5Rules,RMSE,15.704483508115274
28,sg,100,Naive Bayes,Accuracy,0.7020904785235996
29,sg,100,C4.5,Accuracy,0.7620651641352278
30,sg,100,KNN (k=3),Accuracy,0.9137228482769885
31,sg,100,SVM,Accuracy,0.9175118406010127
32,sg,100,Linear Regression,RMSE,12.99628324824404
33,sg,100,KNN (k=3) Regressor,RMSE,9.773980386302723
34,sg,100,M5Rules,RMSE,15.794946998710511
35,sg,200,Naive Bayes,Accuracy,0.7001551527029235
36,sg,200,C4.5,Accuracy,0.7972684958353747
37,sg,200,KNN (k=3),Accuracy,0.9079862812346887
38,sg,200,SVM,Accuracy,0.9290543851053406
39,sg,200,Linear Regression,RMSE,12.528502664881351
40,sg,200,KNN (k=3) Regressor,RMSE,9.70646290508429
41,sg,200,M5Rules,RMSE,15.466818884436758
