,Embedding Mode,Dimensions,Classifier/Regressor,Metric,Score
0,cbow,50,Naive Bayes,Accuracy,0.6566634002939736
1,cbow,50,C4.5,Accuracy,0.7410828025477707
2,cbow,50,KNN (k=3),Accuracy,0.8504736240405031
3,cbow,50,SVM,Accuracy,0.8504409603135719
4,cbow,50,Linear Regression,RMSE,13.958707619456032
5,cbow,50,KNN (k=3) Regressor,RMSE,12.472101024112538
6,cbow,50,M5Rules,RMSE,19.055686899394143
7,cbow,100,Naive Bayes,Accuracy,0.6834803201045239
8,cbow,100,C4.5,Accuracy,0.7308549730524252
9,cbow,100,KNN (k=3),Accuracy,0.8549444716642169
10,cbow,100,SVM,Accuracy,0.86255103707333
11,cbow,100,Linear Regression,RMSE,14.802976785136119
12,cbow,100,KNN (k=3) Regressor,RMSE,13.965585343232572
13,cbow,100,M5Rules,RMSE,17.741804061425075
14,cbow,200,Naive Bayes,Accuracy,0.6708517066797322
15,cbow,200,C4.5,Accuracy,0.7615997060264577
16,cbow,200,KNN (k=3),Accuracy,0.8555854973052425
17,cbow,200,SVM,Accuracy,0.8376653601175894
18,cbow,200,Linear Regression,RMSE,15.482425708614647
19,cbow,200,KNN (k=3) Regressor,RMSE,12.921674051284162
20,cbow,200,M5Rules,RMSE,17.88230323079629
21,sg,50,Naive Bayes,Accuracy,0.7033806957373836
22,sg,50,C4.5,Accuracy,0.7556957373836354
23,sg,50,KNN (k=3),Accuracy,0.9169157275845172
24,sg,50,SVM,Accuracy,0.9277600849256901
25,sg,50,Linear Regression,RMSE,13.15681633224095
26,sg,50,KNN (k=3) Regressor,RMSE,9.147490338925502
27,sg,50,M5Rules,RMSE,15.821150366513276
28,sg,100,Naive Bayes,Accuracy,0.6880205781479667
29,sg,100,C4.5,Accuracy,0.7716887146823452
30,sg,100,KNN (k=3),Accuracy,0.9182181936959006
31,sg,100,SVM,Accuracy,0.9303037726604607
32,sg,100,Linear Regression,RMSE,13.09581230932201
33,sg,100,KNN (k=3) Regressor,RMSE,9.177069785537563
34,sg,100,M5Rules,RMSE,14.956069223267159
35,sg,200,Naive Bayes,Accuracy,0.7116854483096521
36,sg,200,C4.5,Accuracy,0.7818961293483586
37,sg,200,KNN (k=3),Accuracy,0.9220316838151235
38,sg,200,SVM,Accuracy,0.9066225706353095
39,sg,200,Linear Regression,RMSE,12.650694973690399
40,sg,200,KNN (k=3) Regressor,RMSE,9.223930474269633
41,sg,200,M5Rules,RMSE,15.771818334216007
