,Embedding Mode,Dimensions,Classifier/Regressor,Metric,Score
0,cbow,50,Naive Bayes,Accuracy,0.7295280091458436
1,cbow,50,C4.5,Accuracy,0.741691164461865
2,cbow,50,KNN (k=3),Accuracy,0.8447207251347377
3,cbow,50,SVM,Accuracy,0.8542054548423975
4,cbow,50,Linear Regression,RMSE,12.6823673343777
5,cbow,50,KNN (k=3) Regressor,RMSE,12.40070944368531
6,cbow,50,M5Rules,RMSE,17.866582120022375
7,cbow,100,Naive Bayes,Accuracy,0.6803241874897925
8,cbow,100,C4.5,Accuracy,0.7679405520169851
9,cbow,100,KNN (k=3),Accuracy,0.85239670096358
10,cbow,100,SVM,Accuracy,0.8708108770210681
11,cbow,100,Linear Regression,RMSE,12.910882922722646
12,cbow,100,KNN (k=3) Regressor,RMSE,13.238121815389121
13,cbow,100,M5Rules,RMSE,17.80933383252534
14,cbow,200,Naive Bayes,Accuracy,0.6752776416789155
15,cbow,200,C4.5,Accuracy,0.7269720725134737
16,cbow,200,KNN (k=3),Accuracy,0.849224236485383
17,cbow,200,SVM,Accuracy,0.8638004246284501
18,cbow,200,Linear Regression,RMSE,14.246013822901824
19,cbow,200,KNN (k=3) Regressor,RMSE,12.573998692337065
20,cbow,200,M5Rules,RMSE,17.724421666750633
21,sg,50,Naive Bayes,Accuracy,0.7596439653764495
22,sg,50,C4.5,Accuracy,0.7588151233055691
23,sg,50,KNN (k=3),Accuracy,0.9194553323534216
24,sg,50,SVM,Accuracy,0.9175118406010127
25,sg,50,Linear Regression,RMSE,12.221551308649563
26,sg,50,KNN (k=3) Regressor,RMSE,9.591948733259972
27,sg,50,M5Rules,RMSE,16.10242761790762
28,sg,100,Naive Bayes,Accuracy,0.7136616037889923
29,sg,100,C4.5,Accuracy,0.8152090478523599
30,sg,100,KNN (k=3),Accuracy,0.917556753225543
31,sg,100,SVM,Accuracy,0.9309529642332188
32,sg,100,Linear Regression,RMSE,13.883468404488799
33,sg,100,KNN (k=3) Regressor,RMSE,9.346323574335123
34,sg,100,M5Rules,RMSE,15.972139748481473
35,sg,200,Naive Bayes,Accuracy,0.7206924710109424
36,sg,200,C4.5,Accuracy,0.7882818879634166
37,sg,200,KNN (k=3),Accuracy,0.9124652947901355
38,sg,200,SVM,Accuracy,0.9168871468234524
39,sg,200,Linear Regression,RMSE,13.171503237239534
40,sg,200,KNN (k=3) Regressor,RMSE,9.42938934154964
41,sg,200,M5Rules,RMSE,15.378407136446507
