,Embedding Mode,Dimensions,Classifier/Regressor,Metric,Score
0,cbow,50,Naive Bayes,Accuracy,0.6803160215580597
1,cbow,50,C4.5,Accuracy,0.6035195165768414
2,cbow,50,KNN (k=3),Accuracy,0.7238118569328761
3,cbow,50,SVM,Accuracy,0.7512616364527193
4,cbow,50,Linear Regression,RMSE,14.847996978872624
5,cbow,50,KNN (k=3) Regressor,RMSE,15.504263615880342
6,cbow,50,M5Rules,RMSE,19.96844081445536
7,cbow,100,Naive Bayes,Accuracy,0.7379879144210355
8,cbow,100,C4.5,Accuracy,0.5902662093744897
9,cbow,100,KNN (k=3),Accuracy,0.6804303446023192
10,cbow,100,SVM,Accuracy,0.7750653274538625
11,cbow,100,Linear Regression,RMSE,14.134331853971858
12,cbow,100,KNN (k=3) Regressor,RMSE,14.994771164841774
13,cbow,100,M5Rules,RMSE,19.146638873693583
14,cbow,200,Naive Bayes,Accuracy,0.711734443900049
15,cbow,200,C4.5,Accuracy,0.5659113179813817
16,cbow,200,KNN (k=3),Accuracy,0.6081332680058795
17,cbow,200,SVM,Accuracy,0.8446798954760739
18,cbow,200,Linear Regression,RMSE,12.599029972314629
19,cbow,200,KNN (k=3) Regressor,RMSE,15.934539650315923
20,cbow,200,M5Rules,RMSE,19.256975760457216
21,sg,50,Naive Bayes,Accuracy,0.7007430997876857
22,sg,50,C4.5,Accuracy,0.6163032827045566
23,sg,50,KNN (k=3),Accuracy,0.7717417932386086
24,sg,50,SVM,Accuracy,0.8030458925363384
25,sg,50,Linear Regression,RMSE,12.764473002774
26,sg,50,KNN (k=3) Regressor,RMSE,12.15945082611058
27,sg,50,M5Rules,RMSE,17.420399778008807
28,sg,100,Naive Bayes,Accuracy,0.7551118732647395
29,sg,100,C4.5,Accuracy,0.6278417442430181
30,sg,100,KNN (k=3),Accuracy,0.8158786542544505
31,sg,100,SVM,Accuracy,0.8746896945941532
32,sg,100,Linear Regression,RMSE,12.363989754475526
33,sg,100,KNN (k=3) Regressor,RMSE,11.33318668235959
34,sg,100,M5Rules,RMSE,17.93321452371649
35,sg,200,Naive Bayes,Accuracy,0.7666748325983994
36,sg,200,C4.5,Accuracy,0.6336150579781152
37,sg,200,KNN (k=3),Accuracy,0.8184835864772172
38,sg,200,SVM,Accuracy,0.903515433610975
39,sg,200,Linear Regression,RMSE,10.999851426479484
40,sg,200,KNN (k=3) Regressor,RMSE,11.048956959397497
41,sg,200,M5Rules,RMSE,17.514336986697508
