,Embedding Mode,Dimensions,Classifier/Regressor,Metric,Score
0,cbow,50,Naive Bayes,Accuracy,0.5579225536368393
1,cbow,50,C4.5,Accuracy,0.6717634746206176
2,cbow,50,KNN (k=3),Accuracy,0.7335112506541079
3,cbow,50,SVM,Accuracy,0.7426896912611198
4,cbow,50,Linear Regression,RMSE,22.826485945908452
5,cbow,50,KNN (k=3) Regressor,RMSE,22.784487806558143
6,cbow,50,M5Rules,RMSE,27.654455149559443
7,cbow,100,Naive Bayes,Accuracy,0.5773103087388802
8,cbow,100,C4.5,Accuracy,0.7049529042386184
9,cbow,100,KNN (k=3),Accuracy,0.7513919413919414
10,cbow,100,SVM,Accuracy,0.7702930402930404
11,cbow,100,Linear Regression,RMSE,22.744729414722638
12,cbow,100,KNN (k=3) Regressor,RMSE,22.497113574245347
13,cbow,100,M5Rules,RMSE,26.288040820680067
14,cbow,200,Naive Bayes,Accuracy,0.5747723704866562
15,cbow,200,C4.5,Accuracy,0.6870643642072214
16,cbow,200,KNN (k=3),Accuracy,0.739628466771324
17,cbow,200,SVM,Accuracy,0.7508738880167452
18,cbow,200,Linear Regression,RMSE,23.301330956448986
19,cbow,200,KNN (k=3) Regressor,RMSE,22.626286129440018
20,cbow,200,M5Rules,RMSE,27.014468397863673
21,sg,50,Naive Bayes,Accuracy,0.516585557299843
22,sg,50,C4.5,Accuracy,0.6166326530612245
23,sg,50,KNN (k=3),Accuracy,0.7146546310832025
24,sg,50,SVM,Accuracy,0.7621166928309786
25,sg,50,Linear Regression,RMSE,24.2186179704393
26,sg,50,KNN (k=3) Regressor,RMSE,23.08681814986444
27,sg,50,M5Rules,RMSE,30.667505020701277
28,sg,100,Naive Bayes,Accuracy,0.5170931449502878
29,sg,100,C4.5,Accuracy,0.6222475143903714
30,sg,100,KNN (k=3),Accuracy,0.7024149659863945
31,sg,100,SVM,Accuracy,0.7376347462061748
32,sg,100,Linear Regression,RMSE,24.080447362918225
33,sg,100,KNN (k=3) Regressor,RMSE,23.032438396746517
34,sg,100,M5Rules,RMSE,30.02031694715643
35,sg,200,Naive Bayes,Accuracy,0.5150523286237572
36,sg,200,C4.5,Accuracy,0.637051282051282
37,sg,200,KNN (k=3),Accuracy,0.7018916797488227
38,sg,200,SVM,Accuracy,0.7503636839351125
39,sg,200,Linear Regression,RMSE,25.251026180909854
40,sg,200,KNN (k=3) Regressor,RMSE,23.36587900065927
41,sg,200,M5Rules,RMSE,29.43001306928091
