,Embedding Mode,Dimensions,Classifier/Regressor,Metric,Score
0,cbow,50,Naive Bayes,Accuracy,0.6294191522762952
1,cbow,50,C4.5,Accuracy,0.6839874411302983
2,cbow,50,KNN (k=3),Accuracy,0.7376216640502354
3,cbow,50,SVM,Accuracy,0.7503610675039246
4,cbow,50,Linear Regression,RMSE,22.8666880374394
5,cbow,50,KNN (k=3) Regressor,RMSE,23.525909394452157
6,cbow,50,M5Rules,RMSE,28.431778197365116
7,cbow,100,Naive Bayes,Accuracy,0.6166195709052852
8,cbow,100,C4.5,Accuracy,0.7228257456828885
9,cbow,100,KNN (k=3),Accuracy,0.741193092621664
10,cbow,100,SVM,Accuracy,0.7651648351648352
11,cbow,100,Linear Regression,RMSE,22.35923906704554
12,cbow,100,KNN (k=3) Regressor,RMSE,22.551558354764314
13,cbow,100,M5Rules,RMSE,26.576920587647862
14,cbow,200,Naive Bayes,Accuracy,0.64727367870225
15,cbow,200,C4.5,Accuracy,0.6962742019884878
16,cbow,200,KNN (k=3),Accuracy,0.7453008895866038
17,cbow,200,SVM,Accuracy,0.766734693877551
18,cbow,200,Linear Regression,RMSE,23.131064333817452
19,cbow,200,KNN (k=3) Regressor,RMSE,22.840147719679898
20,cbow,200,M5Rules,RMSE,28.358949087175905
21,sg,50,Naive Bayes,Accuracy,0.5206750392464677
22,sg,50,C4.5,Accuracy,0.6038461538461538
23,sg,50,KNN (k=3),Accuracy,0.6988147566718996
24,sg,50,SVM,Accuracy,0.7590293040293041
25,sg,50,Linear Regression,RMSE,24.477879143509604
26,sg,50,KNN (k=3) Regressor,RMSE,23.314640853982105
27,sg,50,M5Rules,RMSE,29.921379768150313
28,sg,100,Naive Bayes,Accuracy,0.5140423861852433
29,sg,100,C4.5,Accuracy,0.6273469387755102
30,sg,100,KNN (k=3),Accuracy,0.6947095761381477
31,sg,100,SVM,Accuracy,0.7493563579277864
32,sg,100,Linear Regression,RMSE,24.950651798145465
33,sg,100,KNN (k=3) Regressor,RMSE,23.781044929662592
34,sg,100,M5Rules,RMSE,29.509744665834727
35,sg,200,Naive Bayes,Accuracy,0.5176164311878597
36,sg,200,C4.5,Accuracy,0.6160858189429618
37,sg,200,KNN (k=3),Accuracy,0.7151360544217689
38,sg,200,SVM,Accuracy,0.7528728414442701
39,sg,200,Linear Regression,RMSE,24.565912912976017
40,sg,200,KNN (k=3) Regressor,RMSE,23.360712932414856
41,sg,200,M5Rules,RMSE,29.932562595013366
