,Embedding Mode,Dimensions,Classifier/Regressor,Metric,Score
0,cbow,50,Naive Bayes,Accuracy,0.6528649921507064
1,cbow,50,C4.5,Accuracy,0.7079984301412872
2,cbow,50,KNN (k=3),Accuracy,0.7477943485086342
3,cbow,50,SVM,Accuracy,0.8116169544740973
4,cbow,50,Linear Regression,RMSE,22.401318484957986
5,cbow,50,KNN (k=3) Regressor,RMSE,22.52104598327992
6,cbow,50,M5Rules,RMSE,28.146039021958494
7,cbow,100,Naive Bayes,Accuracy,0.6273364730507587
8,cbow,100,C4.5,Accuracy,0.699811616954474
9,cbow,100,KNN (k=3),Accuracy,0.7564547357404501
10,cbow,100,SVM,Accuracy,0.7947383568812141
11,cbow,100,Linear Regression,RMSE,23.473731478741108
12,cbow,100,KNN (k=3) Regressor,RMSE,22.035527287042665
13,cbow,100,M5Rules,RMSE,27.445983655800983
14,cbow,200,Naive Bayes,Accuracy,0.6380507587650445
15,cbow,200,C4.5,Accuracy,0.7018733647305077
16,cbow,200,KNN (k=3),Accuracy,0.76720041862899
17,cbow,200,SVM,Accuracy,0.8136446886446886
18,cbow,200,Linear Regression,RMSE,22.962124037672478
19,cbow,200,KNN (k=3) Regressor,RMSE,21.816993745416347
20,cbow,200,M5Rules,RMSE,26.075740169991825
21,sg,50,Naive Bayes,Accuracy,0.5175954997383568
22,sg,50,C4.5,Accuracy,0.6329539508110937
23,sg,50,KNN (k=3),Accuracy,0.723788592360021
24,sg,50,SVM,Accuracy,0.750858189429618
25,sg,50,Linear Regression,RMSE,24.12856946324265
26,sg,50,KNN (k=3) Regressor,RMSE,21.967532822501347
27,sg,50,M5Rules,RMSE,29.930058986131193
28,sg,100,Naive Bayes,Accuracy,0.5160648874934589
29,sg,100,C4.5,Accuracy,0.6564678178963893
30,sg,100,KNN (k=3),Accuracy,0.7258477237048666
31,sg,100,SVM,Accuracy,0.7947540554683412
32,sg,100,Linear Regression,RMSE,24.05102511568043
33,sg,100,KNN (k=3) Regressor,RMSE,22.32747719143249
34,sg,100,M5Rules,RMSE,29.742615767802373
35,sg,200,Naive Bayes,Accuracy,0.5170852956567241
36,sg,200,C4.5,Accuracy,0.6697305075876504
37,sg,200,KNN (k=3),Accuracy,0.7273914181057038
38,sg,200,SVM,Accuracy,0.7411904761904762
39,sg,200,Linear Regression,RMSE,24.721249960899215
40,sg,200,KNN (k=3) Regressor,RMSE,22.34093128006298
41,sg,200,M5Rules,RMSE,28.228036417159746
