,Embedding Mode,Dimensions,Classifier/Regressor,Metric,Score
0,cbow,50,Naive Bayes,Accuracy,0.6314625850340135
1,cbow,50,C4.5,Accuracy,0.6789246467817897
2,cbow,50,KNN (k=3),Accuracy,0.739139194139194
3,cbow,50,SVM,Accuracy,0.7544557823129252
4,cbow,50,Linear Regression,RMSE,22.82620635827583
5,cbow,50,KNN (k=3) Regressor,RMSE,22.808856600027276
6,cbow,50,M5Rules,RMSE,27.80752938789896
7,cbow,100,Naive Bayes,Accuracy,0.6360151753008896
8,cbow,100,C4.5,Accuracy,0.6957692307692308
9,cbow,100,KNN (k=3),Accuracy,0.7523783359497644
10,cbow,100,SVM,Accuracy,0.7656698063840921
11,cbow,100,Linear Regression,RMSE,22.933489431986022
12,cbow,100,KNN (k=3) Regressor,RMSE,22.70634567152036
13,cbow,100,M5Rules,RMSE,27.29982894965041
14,cbow,200,Naive Bayes,Accuracy,0.6370800627943485
15,cbow,200,C4.5,Accuracy,0.6845081109366824
16,cbow,200,KNN (k=3),Accuracy,0.7539324960753533
17,cbow,200,SVM,Accuracy,0.7636316064887494
18,cbow,200,Linear Regression,RMSE,23.558450620894252
19,cbow,200,KNN (k=3) Regressor,RMSE,22.08887841826391
20,cbow,200,M5Rules,RMSE,27.48765357923211
21,sg,50,Naive Bayes,Accuracy,0.5140450026164312
22,sg,50,C4.5,Accuracy,0.616119832548404
23,sg,50,KNN (k=3),Accuracy,0.7095421245421246
24,sg,50,SVM,Accuracy,0.748825222396651
25,sg,50,Linear Regression,RMSE,24.930644950052834
26,sg,50,KNN (k=3) Regressor,RMSE,23.213065964701855
27,sg,50,M5Rules,RMSE,30.110341963165666
28,sg,100,Naive Bayes,Accuracy,0.518636839351125
29,sg,100,C4.5,Accuracy,0.637032967032967
30,sg,100,KNN (k=3),Accuracy,0.7136211407639979
31,sg,100,SVM,Accuracy,0.7350627943485086
32,sg,100,Linear Regression,RMSE,24.90616703302646
33,sg,100,KNN (k=3) Regressor,RMSE,23.226760463229247
34,sg,100,M5Rules,RMSE,29.478175537424487
35,sg,200,Naive Bayes,Accuracy,0.5165960230245945
36,sg,200,C4.5,Accuracy,0.623788592360021
37,sg,200,KNN (k=3),Accuracy,0.7039298796441653
38,sg,200,SVM,Accuracy,0.789662480376766
39,sg,200,Linear Regression,RMSE,25.24658753050209
40,sg,200,KNN (k=3) Regressor,RMSE,23.299817294866518
41,sg,200,M5Rules,RMSE,29.88051197040135
