,Embedding Mode,Dimensions,Classifier/Regressor,Metric,Score
0,cbow,50,Naive Bayes,Accuracy,0.6253113553113552
1,cbow,50,C4.5,Accuracy,0.6717687074829932
2,cbow,50,KNN (k=3),Accuracy,0.7478309785452643
3,cbow,50,SVM,Accuracy,0.7616091051805338
4,cbow,50,Linear Regression,RMSE,22.743039089733767
5,cbow,50,KNN (k=3) Regressor,RMSE,22.729126424858528
6,cbow,50,M5Rules,RMSE,28.161784888758824
7,cbow,100,Naive Bayes,Accuracy,0.6590083725798012
8,cbow,100,C4.5,Accuracy,0.7207587650444793
9,cbow,100,KNN (k=3),Accuracy,0.7667294610151754
10,cbow,100,SVM,Accuracy,0.7779513343799058
11,cbow,100,Linear Regression,RMSE,22.151045003238373
12,cbow,100,KNN (k=3) Regressor,RMSE,22.707977437280295
13,cbow,100,M5Rules,RMSE,26.97760006149219
14,cbow,200,Naive Bayes,Accuracy,0.6324803767660911
15,cbow,200,C4.5,Accuracy,0.6819492412349556
16,cbow,200,KNN (k=3),Accuracy,0.7463029827315542
17,cbow,200,SVM,Accuracy,0.7876111983254841
18,cbow,200,Linear Regression,RMSE,23.269130485332663
19,cbow,200,KNN (k=3) Regressor,RMSE,23.3720933039689
20,cbow,200,M5Rules,RMSE,27.14954087315299
21,sg,50,Naive Bayes,Accuracy,0.5222135007849295
22,sg,50,C4.5,Accuracy,0.637069597069597
23,sg,50,KNN (k=3),Accuracy,0.7003113553113554
24,sg,50,SVM,Accuracy,0.7595238095238096
25,sg,50,Linear Regression,RMSE,24.457286386066524
26,sg,50,KNN (k=3) Regressor,RMSE,23.232459832472507
27,sg,50,M5Rules,RMSE,29.86980009091625
28,sg,100,Naive Bayes,Accuracy,0.516080586080586
29,sg,100,C4.5,Accuracy,0.648809523809524
30,sg,100,KNN (k=3),Accuracy,0.7039037153322868
31,sg,100,SVM,Accuracy,0.7733385661957091
32,sg,100,Linear Regression,RMSE,24.792028761553077
33,sg,100,KNN (k=3) Regressor,RMSE,22.93946067471651
34,sg,100,M5Rules,RMSE,29.0160821820838
35,sg,200,Naive Bayes,Accuracy,0.513021978021978
36,sg,200,C4.5,Accuracy,0.6355128205128204
37,sg,200,KNN (k=3),Accuracy,0.6855363683935114
38,sg,200,SVM,Accuracy,0.7707823129251701
39,sg,200,Linear Regression,RMSE,25.892933185199826
40,sg,200,KNN (k=3) Regressor,RMSE,24.21964024248388
41,sg,200,M5Rules,RMSE,29.04756444711677
