,Embedding Mode,Dimensions,Classifier/Regressor,Metric,Score
0,cbow,50,Naive Bayes,Accuracy,0.6538984824699111
1,cbow,50,C4.5,Accuracy,0.6993144950287807
2,cbow,50,KNN (k=3),Accuracy,0.7769126111983256
3,cbow,50,SVM,Accuracy,0.7564887493458922
4,cbow,50,Linear Regression,RMSE,22.402919331014115
5,cbow,50,KNN (k=3) Regressor,RMSE,21.952006380861384
6,cbow,50,M5Rules,RMSE,27.46807228976697
7,cbow,100,Naive Bayes,Accuracy,0.6324672946101517
8,cbow,100,C4.5,Accuracy,0.717708006279435
9,cbow,100,KNN (k=3),Accuracy,0.7595525902668759
10,cbow,100,SVM,Accuracy,0.7585426478283621
11,cbow,100,Linear Regression,RMSE,22.748181224946357
12,cbow,100,KNN (k=3) Regressor,RMSE,22.300427362490748
13,cbow,100,M5Rules,RMSE,26.361054716793326
14,cbow,200,Naive Bayes,Accuracy,0.6283751962323392
15,cbow,200,C4.5,Accuracy,0.6809602302459445
16,cbow,200,KNN (k=3),Accuracy,0.7503793825222397
17,cbow,200,SVM,Accuracy,0.7309811616954475
18,cbow,200,Linear Regression,RMSE,23.97826194166495
19,cbow,200,KNN (k=3) Regressor,RMSE,22.399286375443324
20,cbow,200,M5Rules,RMSE,27.73475598054838
21,sg,50,Naive Bayes,Accuracy,0.5155729984301411
22,sg,50,C4.5,Accuracy,0.6094714809000523
23,sg,50,KNN (k=3),Accuracy,0.6982783882783883
24,sg,50,SVM,Accuracy,0.7426870748299321
25,sg,50,Linear Regression,RMSE,24.758904538898864
26,sg,50,KNN (k=3) Regressor,RMSE,23.914337103552462
27,sg,50,M5Rules,RMSE,29.81634571241898
28,sg,100,Naive Bayes,Accuracy,0.5176164311878597
29,sg,100,C4.5,Accuracy,0.6533830455259027
30,sg,100,KNN (k=3),Accuracy,0.7044165358451073
31,sg,100,SVM,Accuracy,0.7585217163788592
32,sg,100,Linear Regression,RMSE,25.302888145937466
33,sg,100,KNN (k=3) Regressor,RMSE,23.252810812670525
34,sg,100,M5Rules,RMSE,30.142590418831315
35,sg,200,Naive Bayes,Accuracy,0.5191470434327577
36,sg,200,C4.5,Accuracy,0.6579722658294086
37,sg,200,KNN (k=3),Accuracy,0.6967346938775509
38,sg,200,SVM,Accuracy,0.7585426478283621
39,sg,200,Linear Regression,RMSE,25.797550943606257
40,sg,200,KNN (k=3) Regressor,RMSE,23.648194122890402
41,sg,200,M5Rules,RMSE,28.581670211149024
