,Embedding Mode,Dimensions,Classifier/Regressor,Metric,Score
0,cbow,50,Naive Bayes,Accuracy,0.6375614861329145
1,cbow,50,C4.5,Accuracy,0.6880821559392988
2,cbow,50,KNN (k=3),Accuracy,0.7432025117739405
3,cbow,50,SVM,Accuracy,0.7661721611721612
4,cbow,50,Linear Regression,RMSE,23.174798153299054
5,cbow,50,KNN (k=3) Regressor,RMSE,22.88207703875577
6,cbow,50,M5Rules,RMSE,28.87069896128787
7,cbow,100,Naive Bayes,Accuracy,0.6421664050235478
8,cbow,100,C4.5,Accuracy,0.6972893772893773
9,cbow,100,KNN (k=3),Accuracy,0.7539455782312925
10,cbow,100,SVM,Accuracy,0.7590423861852433
11,cbow,100,Linear Regression,RMSE,22.906215108048876
12,cbow,100,KNN (k=3) Regressor,RMSE,22.155446218451274
13,cbow,100,M5Rules,RMSE,27.177558446377798
14,cbow,200,Naive Bayes,Accuracy,0.6630926216640503
15,cbow,200,C4.5,Accuracy,0.701865515436944
16,cbow,200,KNN (k=3),Accuracy,0.7667032967032966
17,cbow,200,SVM,Accuracy,0.7575248560962846
18,cbow,200,Linear Regression,RMSE,23.85663073583047
19,cbow,200,KNN (k=3) Regressor,RMSE,21.93649418381726
20,cbow,200,M5Rules,RMSE,26.782242127483055
21,sg,50,Naive Bayes,Accuracy,0.5191444270015697
22,sg,50,C4.5,Accuracy,0.6202485609628468
23,sg,50,KNN (k=3),Accuracy,0.7197409733124019
24,sg,50,SVM,Accuracy,0.739160125588697
25,sg,50,Linear Regression,RMSE,24.764206114588312
26,sg,50,KNN (k=3) Regressor,RMSE,23.14732596880298
27,sg,50,M5Rules,RMSE,29.749182656884972
28,sg,100,Naive Bayes,Accuracy,0.518636839351125
29,sg,100,C4.5,Accuracy,0.651828885400314
30,sg,100,KNN (k=3),Accuracy,0.6916535845107273
31,sg,100,SVM,Accuracy,0.7524228152799581
32,sg,100,Linear Regression,RMSE,25.672608390118647
33,sg,100,KNN (k=3) Regressor,RMSE,23.346148022461577
34,sg,100,M5Rules,RMSE,29.520051109788774
35,sg,200,Naive Bayes,Accuracy,0.5206750392464679
36,sg,200,C4.5,Accuracy,0.6406174777603348
37,sg,200,KNN (k=3),Accuracy,0.6988121402407117
38,sg,200,SVM,Accuracy,0.769756671899529
39,sg,200,Linear Regression,RMSE,25.06768499004766
40,sg,200,KNN (k=3) Regressor,RMSE,23.98839363272739
41,sg,200,M5Rules,RMSE,29.48592243860029
