,Embedding Mode,Dimensions,Classifier/Regressor,Metric,Score
0,cbow,50,Naive Bayes,Accuracy,0.6467425431711146
1,cbow,50,C4.5,Accuracy,0.7090005232862376
2,cbow,50,KNN (k=3),Accuracy,0.7815070643642072
3,cbow,50,SVM,Accuracy,0.7570015698587127
4,cbow,50,Linear Regression,RMSE,21.80970327102766
5,cbow,50,KNN (k=3) Regressor,RMSE,21.41223113698349
6,cbow,50,M5Rules,RMSE,26.378197680384538
7,cbow,100,Naive Bayes,Accuracy,0.6375693354264783
8,cbow,100,C4.5,Accuracy,0.6738016745159603
9,cbow,100,KNN (k=3),Accuracy,0.7518995290423862
10,cbow,100,SVM,Accuracy,0.768731030873888
11,cbow,100,Linear Regression,RMSE,23.65151408601234
12,cbow,100,KNN (k=3) Regressor,RMSE,22.708016268902703
13,cbow,100,M5Rules,RMSE,28.771428443767
14,cbow,200,Naive Bayes,Accuracy,0.6314416535845109
15,cbow,200,C4.5,Accuracy,0.6957535321821037
16,cbow,200,KNN (k=3),Accuracy,0.7692752485609629
17,cbow,200,SVM,Accuracy,0.7733464154892726
18,cbow,200,Linear Regression,RMSE,23.91549469011312
19,cbow,200,KNN (k=3) Regressor,RMSE,22.088816064859998
20,cbow,200,M5Rules,RMSE,27.14830837777028
21,sg,50,Naive Bayes,Accuracy,0.5191470434327577
22,sg,50,C4.5,Accuracy,0.606457352171638
23,sg,50,KNN (k=3),Accuracy,0.6829905808477237
24,sg,50,SVM,Accuracy,0.7692490842490843
25,sg,50,Linear Regression,RMSE,24.611304190542747
26,sg,50,KNN (k=3) Regressor,RMSE,24.035289948427533
27,sg,50,M5Rules,RMSE,30.790421879114085
28,sg,100,Naive Bayes,Accuracy,0.5176138147566718
29,sg,100,C4.5,Accuracy,0.6130612244897959
30,sg,100,KNN (k=3),Accuracy,0.7130743066457352
31,sg,100,SVM,Accuracy,0.7621114599686029
32,sg,100,Linear Regression,RMSE,24.085787012942266
33,sg,100,KNN (k=3) Regressor,RMSE,23.205219972835412
34,sg,100,M5Rules,RMSE,30.044669947862154
35,sg,200,Naive Bayes,Accuracy,0.517106227106227
36,sg,200,C4.5,Accuracy,0.6385766614338042
37,sg,200,KNN (k=3),Accuracy,0.7018707482993197
38,sg,200,SVM,Accuracy,0.7723233908948195
39,sg,200,Linear Regression,RMSE,25.504990082937113
40,sg,200,KNN (k=3) Regressor,RMSE,23.362566738354936
41,sg,200,M5Rules,RMSE,29.707500807331705
