,,,,,,FF,TF,FT,TT,DFS_FF,DFS_TF
,Embedding Mode,Dimensions,Classifier/Regressor,Metric,Score,Score,Score,Score,Score,Score,Score
0,cbow,50,Naive Bayes,Accuracy,0.772391418,0.557922554,0.652864992,0.629419152,0.631462585,0.625311355,0.637561486
1,cbow,50,C4.5,Accuracy,0.727901622,0.671763475,0.70799843,0.683987441,0.678924647,0.671768707,0.688082156
2,cbow,50,KNN (k=3),Accuracy,0.812621664,0.733511251,0.747794349,0.737621664,0.739139194,0.747830979,0.743202512
3,cbow,50,SVM,Accuracy,0.821828885,0.742689691,0.811616954,0.750361068,0.754455782,0.761609105,0.766172161
4,cbow,50,Linear Regression,RMSE,19.29732868,22.82648595,22.40131848,22.86668804,22.82620636,22.74303909,23.17479815
5,cbow,50,KNN (k=3) Regressor,RMSE,21.27792506,22.78448781,22.52104598,23.52590939,22.8088566,22.72912642,22.88207704
6,cbow,50,M5Rules,RMSE,28.67780883,27.65445515,28.14603902,28.4317782,27.80752939,28.16178489,28.87069896
7,cbow,100,Naive Bayes,Accuracy,0.764115646,0.577310309,0.627336473,0.616619571,0.636015175,0.659008373,0.642166405
8,cbow,100,C4.5,Accuracy,0.643610675,0.704952904,0.699811617,0.722825746,0.695769231,0.720758765,0.697289377
9,cbow,100,KNN (k=3),Accuracy,0.793165882,0.751391941,0.756454736,0.741193093,0.752378336,0.766729461,0.753945578
10,cbow,100,SVM,Accuracy,0.836603872,0.77029304,0.794738357,0.765164835,0.765669806,0.777951334,0.759042386
11,cbow,100,Linear Regression,RMSE,21.54881159,22.74472941,23.47373148,22.35923907,22.93348943,22.151045,22.90621511
12,cbow,100,KNN (k=3) Regressor,RMSE,25.31108426,22.49711357,22.03552729,22.55155835,22.70634567,22.70797744,22.15544622
13,cbow,100,M5Rules,RMSE,32.20061657,26.28804082,27.44598366,26.57692059,27.29982895,26.97760006,27.17755845
14,cbow,200,Naive Bayes,Accuracy,0.757511774,0.57477237,0.638050759,0.647273679,0.637080063,0.632480377,0.663092622
15,cbow,200,C4.5,Accuracy,0.644160126,0.687064364,0.701873365,0.696274202,0.684508111,0.681949241,0.701865515
16,cbow,200,KNN (k=3),Accuracy,0.774243851,0.739628467,0.767200419,0.74530089,0.753932496,0.746302983,0.766703297
17,cbow,200,SVM,Accuracy,0.843220827,0.750873888,0.813644689,0.766734694,0.763631606,0.787611198,0.757524856
18,cbow,200,Linear Regression,RMSE,21.91512785,23.30133096,22.96212404,23.13106433,23.55845062,23.26913049,23.85663074
19,cbow,200,KNN (k=3) Regressor,RMSE,26.61637224,22.62628613,21.81699375,22.84014772,22.08887842,23.3720933,21.93649418
20,cbow,200,M5Rules,RMSE,31.99500241,27.0144684,26.07574017,28.35894909,27.48765358,27.14954087,26.78224213
21,sg,50,Naive Bayes,Accuracy,0.699322344,0.516585557,0.5175955,0.520675039,0.514045003,0.522213501,0.519144427
22,sg,50,C4.5,Accuracy,0.588537415,0.616632653,0.632953951,0.603846154,0.616119833,0.637069597,0.620248561
23,sg,50,KNN (k=3),Accuracy,0.647760335,0.714654631,0.723788592,0.698814757,0.709542125,0.700311355,0.719740973
24,sg,50,SVM,Accuracy,0.746279435,0.762116693,0.750858189,0.759029304,0.748825222,0.75952381,0.739160126
25,sg,50,Linear Regression,RMSE,20.22856608,24.21861797,24.12856946,24.47787914,24.93064495,24.45728639,24.76420611
26,sg,50,KNN (k=3) Regressor,RMSE,24.00749886,23.08681815,21.96753282,23.31464085,23.21306596,23.23245983,23.14732597
27,sg,50,M5Rules,RMSE,30.50417378,30.66750502,29.93005899,29.92137977,30.11034196,29.86980009,29.74918266
28,sg,100,Naive Bayes,Accuracy,0.691145997,0.517093145,0.516064887,0.514042386,0.518636839,0.516080586,0.518636839
29,sg,100,C4.5,Accuracy,0.582990581,0.622247514,0.656467818,0.627346939,0.637032967,0.648809524,0.651828885
30,sg,100,KNN (k=3),Accuracy,0.559971219,0.702414966,0.725847724,0.694709576,0.713621141,0.703903715,0.691653585
31,sg,100,SVM,Accuracy,0.738608059,0.737634746,0.794754055,0.749356358,0.735062794,0.773338566,0.752422815
32,sg,100,Linear Regression,RMSE,21.6576508,24.08044736,24.05102512,24.9506518,24.90616703,24.79202876,25.67260839
33,sg,100,KNN (k=3) Regressor,RMSE,25.83347105,23.0324384,22.32747719,23.78104493,23.22676046,22.93946067,23.34614802
34,sg,100,M5Rules,RMSE,31.09071562,30.02031695,29.74261577,29.50974467,29.47817554,29.01608218,29.52005111
35,sg,200,Naive Bayes,Accuracy,0.709510727,0.515052329,0.517085296,0.517616431,0.516596023,0.513021978,0.520675039
36,sg,200,C4.5,Accuracy,0.554861329,0.637051282,0.669730508,0.616085819,0.623788592,0.635512821,0.640617478
37,sg,200,KNN (k=3),Accuracy,0.54466248,0.70189168,0.727391418,0.715136054,0.70392988,0.685536368,0.69881214
38,sg,200,SVM,Accuracy,0.775894819,0.750363684,0.741190476,0.752872841,0.78966248,0.770782313,0.769756672
39,sg,200,Linear Regression,RMSE,21.03399911,25.25102618,24.72124996,24.56591291,25.24658753,25.89293319,25.06768499
40,sg,200,KNN (k=3) Regressor,RMSE,26.07805236,23.365879,22.34093128,23.36071293,23.29981729,24.21964024,23.98839363
41,sg,200,M5Rules,RMSE,30.97289127,29.43001307,28.22803642,29.9325626,29.88051197,29.04756445,29.48592244
,,,,,-443.2161754,-434.8345472,-427.6228873,-438.1844767,-437.4894818,,
,,,,,,19,33,25,22,,
