Alpha,Beta,Max hops,Node number,Edge number,Density,Coverage,Avg. degree,Runtime
0.1,0.0025,2,1394,8734,0.004497791,0.897727273,12.53084648,203.8749065
0.1,0.0025,3,1598,12653,0.00495806,0.926136364,15.83604506,285.5815063
0.1,0.0025,4,1601,12603,0.004919972,0.943181818,15.74391006,320.9911416
0.1,0.005,2,1387,8709,0.004530317,0.897727273,12.55803893,214.931705
0.1,0.005,3,1493,11784,0.005290103,0.914772727,15.78566644,260.8700423
0.1,0.005,4,1504,11816,0.005227134,0.920454545,15.71276596,284.3157005
0.1,0.0075,2,1386,8703,0.004533733,0.897727273,12.55844156,212.8354223
0.1,0.0075,3,1464,11456,0.005348692,0.903409091,15.65027322,238.1685712
0.1,0.0075,4,1465,11463,0.005344654,0.914772727,15.64914676,252.4211836
0.1,0.01,2,1384,8689,0.004539537,0.897727273,12.55635838,215.7112229
0.1,0.01,3,1437,10760,0.005214361,0.886363636,14.9756437,228.8878374
0.1,0.01,4,1454,11073,0.005241255,0.897727273,15.23108666,238.4419281
0.25,0.0025,2,1456,9449,0.004460273,0.897727273,12.9793956,217.5627089
0.25,0.0025,3,1690,13284,0.004653851,0.943181818,15.72071006,329.0832126
0.25,0.0025,4,1680,13098,0.004643495,0.943181818,15.59285714,376.6007271
0.25,0.005,2,1429,9263,0.004539324,0.892045455,12.96431071,217.254751
0.25,0.005,3,1621,12811,0.004878485,0.9375,15.80629241,296.9674304
0.25,0.005,4,1626,12704,0.004808023,0.943181818,15.62607626,334.1459806
0.25,0.0075,2,1388,8713,0.004525867,0.897727273,12.55475504,212.9367995
0.25,0.0075,3,1568,12443,0.005064191,0.926136364,15.87117347,278.9068875
0.25,0.0075,4,1586,12535,0.004986455,0.943181818,15.80706179,313.0380249
0.25,0.01,2,1387,8709,0.004530317,0.897727273,12.55803893,213.8799047
0.25,0.01,3,1536,12016,0.005096363,0.914772727,15.64583333,272.1765347
0.25,0.01,4,1556,12135,0.005015333,0.926136364,15.59768638,293.6946414
0.5,0.0025,2,1458,9457,0.004451807,0.897727273,12.97256516,217.7845542
0.5,0.0025,3,1801,13793,0.004254735,0.948863636,15.31704609,371.5863528
0.5,0.0025,4,1754,13470,0.004380827,0.948863636,15.35917902,430.5444386
0.5,0.005,2,1456,9449,0.004460273,0.897727273,12.9793956,216.9007347
0.5,0.005,3,1690,13284,0.004653851,0.943181818,15.72071006,332.3968148
0.5,0.005,4,1681,13103,0.004639741,0.943181818,15.58953004,381.4471936
0.5,0.0075,2,1462,9611,0.00449957,0.892045455,13.14774282,217.4942055
0.5,0.0075,3,1647,12965,0.004782435,0.9375,15.74377656,316.3303628
0.5,0.0075,4,1652,12900,0.004729689,0.943181818,15.61743341,357.8375003
0.5,0.01,2,1431,9275,0.004532505,0.892045455,12.96296296,216.4907539
0.5,0.01,3,1624,12825,0.004865784,0.9375,15.79433498,295.934973
0.5,0.01,4,1629,12727,0.004798998,0.943181818,15.62553714,333.0974984
0.9,0.0025,2,1466,9438,0.004394489,0.903409091,12.87585266,241.5181806
0.9,0.0025,3,1827,13696,0.00410539,0.948863636,14.99288451,449.1518328
0.9,0.0025,4,1864,14036,0.004041891,0.948863636,15.06008584,503.5290239
0.9,0.005,2,1458,9457,0.004451807,0.897727273,12.97256516,216.1003752
0.9,0.005,3,1788,13751,0.004303702,0.948863636,15.38143177,364.9775863
0.9,0.005,4,1743,13444,0.004427749,0.948863636,15.42627653,428.5413871
0.9,0.0075,2,1458,9457,0.004451807,0.897727273,12.97256516,216.3088026
0.9,0.0075,3,1717,13431,0.004558488,0.943181818,15.64472918,335.2350881
0.9,0.0075,4,1686,13144,0.004626687,0.943181818,15.59193357,386.9908121
0.9,0.01,2,1466,9611,0.004475041,0.897727273,13.11186903,218.9410918
0.9,0.01,3,1677,13150,0.00467863,0.943181818,15.68276685,328.6103067
0.9,0.01,4,1677,13025,0.004634156,0.943181818,15.53369112,379.8652472
