Alpha,Beta,Max depth,Node number,Edge number,Density,Coverage,Avg. degree,Runtime
0.1,0.0025,2,1812,13935,0.004246492,0.9375,15.3807947,767.0911891
0.1,0.0025,3,2077,14947,0.003466492,0.9375,14.39287434,725.7987072
0.1,0.0025,4,2088,15015,0.00344566,0.943181818,14.38218391,1181.285507
0.1,0.005,2,1721,13608,0.004597111,0.9375,15.81406159,768.3560228
0.1,0.005,3,1910,14296,0.003920805,0.9375,14.96963351,722.7329085
0.1,0.005,4,1938,14535,0.003871967,0.943181818,15,1125.843652
0.1,0.0075,2,1700,13444,0.004654641,0.931818182,15.81647059,778.2455907
0.1,0.0075,3,1819,13871,0.00419451,0.9375,15.25123694,728.0049567
0.1,0.0075,4,1841,14122,0.00416893,0.943181818,15.34166214,1090.696063
0.1,0.01,2,1643,13230,0.004903985,0.914772727,16.10468655,684.0119119
0.1,0.01,3,1759,13668,0.00441998,0.943181818,15.5406481,699.5556073
0.1,0.01,4,1781,13855,0.004370414,0.943181818,15.5586749,1068.051756
0.25,0.0025,2,1907,14369,0.003953238,0.9375,15.06974305,830.076637
0.25,0.0025,3,2237,15421,0.003083009,0.9375,13.78721502,837.140959
0.25,0.0025,4,2216,15378,0.003132971,0.954545455,13.87906137,1089.739709
0.25,0.005,2,1834,14042,0.004177026,0.9375,15.3129771,854.1804855
0.25,0.005,3,2160,15215,0.003262613,0.9375,14.08796296,843.130733
0.25,0.005,4,2153,15211,0.003283004,0.943181818,14.13005109,1076.229963
0.25,0.0075,2,1806,13915,0.004268628,0.9375,15.40974529,1034.64278
0.25,0.0075,3,2076,14951,0.003470762,0.9375,14.40366089,964.9760263
0.25,0.0075,4,2077,14990,0.003476464,0.943181818,14.43428021,1110.268406
0.25,0.01,2,1774,13796,0.004386224,0.9375,15.5535513,962.3585656
0.25,0.01,3,1991,14681,0.003705368,0.9375,14.74736313,1007.888896
0.25,0.01,4,2000,14762,0.003692346,0.943181818,14.762,1083.518824
0.5,0.0025,2,2001,14690,0.003670665,0.948863636,14.68265867,989.3759453
0.5,0.0025,3,2318,15650,0.002913902,0.954545455,13.50301984,966.4365466
0.5,0.0025,4,2310,15641,0.002932436,0.954545455,13.54199134,1072.315292
0.5,0.005,2,1924,14433,0.003900967,0.948863636,15.0031185,1036.741215
0.5,0.005,3,2277,15538,0.002998195,0.9375,13.64778217,900.8168914
0.5,0.005,4,2265,15504,0.003023425,0.954545455,13.69006623,1059.540763
0.5,0.0075,2,1867,14161,0.004064789,0.9375,15.16979111,1009.283036
0.5,0.0075,3,2234,15419,0.003090895,0.9375,13.80393912,922.1860223
0.5,0.0075,4,2217,15384,0.003131366,0.954545455,13.8782138,1077.51735
0.5,0.01,2,1847,14091,0.004132789,0.9375,15.25825663,1021.03483
0.5,0.01,3,2203,15333,0.003160788,0.9375,13.92010894,818.1948352
0.5,0.01,4,2200,15348,0.003172516,0.943181818,13.95272727,1113.548663
0.9,0.005,2,2008,14698,0.003647096,0.948863636,14.63944223,797.1379993
0.9,0.005,3,2336,15696,0.002877592,0.954545455,13.43835616,764.8341763
0.9,0.005,4,2328,15667,0.002892055,0.954545455,13.45962199,1128.164891
0.9,0.0075,2,1960,14546,0.003788376,0.948863636,14.84285714,777.6979799
0.9,0.0075,3,2305,15613,0.002939903,0.954545455,13.54707158,740.3624768
0.9,0.0075,4,2306,15599,0.002934719,0.954545455,13.52905464,1138.568566
0.9,0.01,2,1934,14447,0.003864465,0.948863636,14.94002068,790.7597473
0.9,0.01,3,2289,15568,0.002972563,0.9375,13.60244648,742.7896936
0.9,0.01,4,2285,15552,0.002979915,0.954545455,13.61225383,1067.314645
