Alpha,Beta,Max depth,Node number,Edge number,Density,Coverage,Avg. degree,Runtime
0.1,0.0025,2,0.24386724386724387,0.28588807785888076,0.004246492,0.5714285678367349,0.7285063198788351,0.1670695528953091
0.1,0.0025,3,0.6262626262626263,0.6962692619626926,0.003466492,0.5714285678367349,0.3579894613135324,0.08403180002267525
0.1,0.0025,4,0.6421356421356421,0.7238442822384428,0.00344566,0.7142857035102046,0.3539800444610318,1.0
0.1,0.005,2,0.11255411255411256,0.15328467153284672,0.004597111,0.5714285678367349,0.8910018949302076,0.16961308971782166
0.1,0.005,3,0.3852813852813853,0.43227899432278993,0.003920805,0.5714285678367349,0.5743014278136774,0.0778665848771105
0.1,0.005,4,0.42568542568542567,0.5291970802919708,0.003871967,0.7142857035102046,0.585690297742884,0.88850834722312
0.1,0.0075,2,0.08225108225108226,0.0867802108678021,0.004654641,0.42857143216326515,0.8919053838635502,0.1895006687034125
0.1,0.0075,3,0.25396825396825395,0.2599351175993512,0.00419451,0.5714285678367349,0.6799160324613785,0.08846849145720909
0.1,0.0075,4,0.2857142857142857,0.36171938361719386,0.00416893,0.7142857035102046,0.7138297591094854,0.81782776143225
0.1,0.01,2,0.0,0.0,0.004903985,0.0,1.0,0.0
0.1,0.01,3,0.1673881673881674,0.17761557177615572,0.00441998,0.7142857035102046,0.7884589051246572,0.031257833822594706
0.1,0.01,4,0.19913419913419914,0.25344687753446876,0.004370414,0.7142857035102046,0.795219807699825,0.7722908432786804
0.25,0.0025,2,0.38095238095238093,0.46188158961881587,0.003953238,0.5714285678367349,0.6118472399813887,0.29373111007558506
0.25,0.0025,3,0.8571428571428571,0.8884833738848338,0.003083009,0.5714285678367349,0.13083857173454033,0.30793721727614803
0.25,0.0025,4,0.8268398268398268,0.8710462287104623,0.003132971,1.0,0.16528529684575238,0.8159045666167122
0.25,0.005,2,0.2756132756132756,0.32927818329278186,0.004177026,0.5714285678367349,0.7030715124542384,0.34220311570289536
0.25,0.005,3,0.746031746031746,0.8049472830494728,0.003262613,0.5714285678367349,0.24363327306935906,0.3199824456152789
0.25,0.005,4,0.7359307359307359,0.8033252230332523,0.003283004,0.7142857035102046,0.25941831237200896,0.7887369346870836
0.25,0.0075,2,0.2352092352092352,0.2777777777777778,0.004268628,0.5714285678367349,0.7393641603432348,0.7051065480954991
0.25,0.0075,3,0.6248196248196248,0.6978913219789132,0.003470762,0.5714285678367349,0.3620349277120153,0.5650091160450597
0.25,0.0075,4,0.6262626262626263,0.7137064071370641,0.003476464,0.7142857035102046,0.3735186208487842,0.8571870662352002
0.25,0.01,2,0.18903318903318903,0.22952149229521493,0.004386224,0.5714285678367349,0.7932982153798278,0.5597454931103378
0.25,0.01,3,0.5021645021645021,0.5884022708840227,0.003705368,0.5714285678367349,0.49093952306488176,0.6513054127373674
0.25,0.01,4,0.5151515151515151,0.6212489862124899,0.003692346,0.7142857035102046,0.4964290415637503,0.8033945820502706
0.5,0.0025,2,0.5165945165945166,0.592051905920519,0.003670665,0.8571428391836743,0.46667229037583763,0.6140765092073557
0.5,0.0025,3,0.974025974025974,0.981346309813463,0.002913902,1.0,0.024251938260359644,0.5679461718517458
0.5,0.0025,4,0.9624819624819625,0.9776966747769668,0.002932436,1.0,0.038868093912397504,0.7808646667070941
0.5,0.005,2,0.4054834054834055,0.4878345498783455,0.003900967,0.8571428391836743,0.5868598827319368,0.7093264282996312
0.5,0.005,3,0.9148629148629148,0.9359286293592863,0.002998195,0.5714285678367349,0.07854465852598243,0.4359873149033809
0.5,0.005,4,0.8975468975468975,0.9221411192214112,0.003023425,1.0,0.09440318084511636,0.7551755307347103
0.5,0.0075,2,0.32323232323232326,0.3775344687753447,0.004064789,0.5714285678367349,0.6493699942414114,0.6541089800567214
0.5,0.0075,3,0.8528138528138528,0.8876723438767234,0.003090895,0.5714285678367349,0.13711090019868133,0.47895989802576183
0.5,0.0075,4,0.8282828282828283,0.8734793187347932,0.003131366,1.0,0.1649674180100387,0.7913258254158205
0.5,0.01,2,0.2943722943722944,0.3491484184914842,0.004132789,0.5714285678367349,0.6825487482067066,0.6777414313185599
0.5,0.01,3,0.8080808080808081,0.8527980535279805,0.003160788,0.5714285678367349,0.18068007693525207,0.26983721762466867
0.5,0.01,4,0.8037518037518038,0.8588807785888077,0.003172516,0.7142857035102046,0.19291349336493918,0.8637835496043614
0.9,0.005,2,0.5266955266955267,0.5952960259529603,0.003647096,0.8571428391836743,0.4504640814599125,0.22749264894559862
0.9,0.005,3,1.0,1.0,0.002877592,1.0,0.0,0.16253077822028114
0.9,0.005,4,0.9884559884559885,0.9882400648824007,0.002892055,1.0,0.0079756920146722,0.8931762785648858
0.9,0.0075,2,0.4574314574314574,0.5336577453365775,0.003788376,0.8571428391836743,0.5267542931916999,0.18839944232542655
0.9,0.0075,3,0.9552669552669553,0.9663422546634225,0.002939903,1.0,0.04077342418169006,0.11331903695523604
0.9,0.0075,4,0.9567099567099567,0.9606650446066505,0.002934719,1.0,0.03401621957284909,0.9140977091465918
0.9,0.01,2,0.4199134199134199,0.4935117599351176,0.003864465,0.8571428391836743,0.5631952160287232,0.2146662047851814
0.9,0.01,3,0.9321789321789322,0.9480940794809408,0.002972563,0.5714285678367349,0.06154163063040347,0.11820008598723199
0.9,0.01,4,0.9264069264069265,0.9416058394160584,0.002979915,1.0,0.06521985071775015,0.770808538552945
